x,y
116.894196,223.70001
117.479935,222.35431
118.08128,220.51524
118.69816,218.18295
119.33041,215.35762
119.47783,212.53938
119.64019,209.7284
119.31722,206.92473
119.00861,204.12848
119.214066,201.33968
119.43333,198.0584
120.16611,194.78476
120.41216,191.51889
120.17119,188.26085
120.44287,185.01068
120.726906,182.26842
120.52308,179.53412
119.83111,176.80779
118.6507,174.08936
117.481544,170.87874
116.82329,167.67584
115.67562,164.48059
114.03823,161.2929
111.91079,158.11261
109.29294,154.93956
106.18434,151.77356
103.08465,148.61436
99.49353,145.46176
95.91067,142.31552
91.83574,139.17542
87.76845,136.5412
83.70853,133.41267
79.65569,130.2896
75.609695,126.67179
71.070274,123.05906
66.037155,119.4512
60.510094,115.848015
54.988823,112.74929
48.97313,109.65482
42.962795,106.064415
36.4576,102.47789
29.95733,98.89505
23.46178,95.815735
16.970776,93.23977
10.484156,90.16701
3.5017643,87.097305
-3.9765587,84.03053
-11.950969,80.96654
-19.92162,77.90518
-28.388655,74.84634
-36.85222,71.78987
-45.312443,68.235664
-54.269466,64.68361
-63.22341,61.1336
-72.67441,57.58553
-82.622574,54.0393
-92.06803,50.494812
-101.51087,47.451984
-111.45121,44.410736
-121.38913,40.87099
-131.82472,37.332672
-142.75809,33.795715
-154.1893,30.260042
-166.11847,26.725594
-178.04565,23.692299
-189.97095,21.1601
