x,y
196.55441,252.60704
197.42525,250.8745
198.34264,249.66423
198.80649,248.47697
198.81648,247.31322
198.87195,246.67314
198.4726,246.05687
198.11783,245.46431
197.80713,245.39532
197.54027,245.84978
196.81735,246.32744
196.63821,246.82788
197.00299,247.35092
197.91219,247.89665
198.86664,248.46548
199.36725,249.05785
199.41466,249.67389
199.00925,250.31355
198.15112,250.97647
196.84007,251.66203
195.07558,252.36943
193.85686,253.0976
192.18347,253.84581
190.0547,254.6131
188.46953,255.3984
187.4273,256.20087
185.92772,257.01993
183.97015,257.85483
181.55376,258.70468
178.67741,259.5685
175.3398,260.44522
171.53937,261.33374
167.27444,262.23294
162.54324,263.14175
157.84386,263.55908
153.1745,264.4841
148.03357,265.41602
142.91943,265.85403
137.83054,266.79752
132.7655,267.24588
127.72302,267.6987
122.7019,268.1555
117.70101,269.1159
112.71938,270.57962
107.75609,272.5462
102.810326,275.01526
98.38132,277.48648
93.96842,280.45947
89.571045,283.43396
85.1886,286.9096
80.82054,290.88614
76.96633,294.86322
73.125534,299.34064
69.29771,304.31808
65.48241,308.7953
61.679222,313.77206
57.88773,318.74814
54.107517,324.22336
50.33819,329.19748
46.57935,334.6704
42.830616,340.64194
39.09161,347.11194
34.86195,353.58023
30.141228,360.04672
25.429031,367.01132
20.72495,374.47394
16.02859,382.4345
11.3395605,390.39294
6.1574917,398.34918
0.98201525,406.80325
-4.187227,415.75507
-9.85058,424.70465
-15.508384,434.15198
-21.660961,443.5971
-28.308628,453.04004
-34.951683,462.98083
-41.590416,473.4195
-47.72509,483.8561
-53.855953,494.7907
-59.98323,505.22336
-66.10713,516.15405
-72.22785,527.0829
-78.34558,538.5099
-84.46048,550.4351
-90.57273,562.8586
-96.68247,575.7804
-102.78987,589.20056
-108.89507,603.11914
-114.99819,617.53625
-121.09938,632.4518
-127.198746,646.86597
-133.2964,661.7787
-139.89244,676.69006
-146.48697,692.1002
-153.5801,707.50903
-160.67188,722.41675
-167.76239,737.32324
-174.85172,752.72864
-181.93993,768.63293
-189.02707,785.03625
