x,y
422.09897,283.22345
422.29324,285.07617
422.94385,286.9342
424.05106,288.79684
425.6154,290.66336
427.6378,292.533
430.11945,294.40503
433.06177,296.27875
436.46646,298.1535
440.3353,300.02875
444.17026,301.904
448.4731,303.7788
453.24573,305.65286
458.49,307.52588
464.20776,309.3976
470.40088,311.26794
477.0712,313.13678
484.22037,315.00403
491.8501,316.8697
499.96188,318.7338
508.5572,320.59634
517.6374,322.45743
527.20374,324.31705
537.2573,326.17532
547.7993,328.0323
558.8306,329.88806
569.8522,331.24274
581.3647,332.59634
593.369,333.94897
605.86566,335.30075
618.8554,336.65173
631.8386,338.50195
644.316,340.3515
657.2878,342.20038
670.75446,344.04868
684.2164,345.8964
698.1739,347.7436
712.62726,349.59027
727.5768,351.43652
742.52277,353.78232
757.9654,356.12772
773.90497,358.47275
790.34155,360.8174
