x,y
520.27167,368.0667
519.8535,369.36218
519.92334,370.6539
520.48126,371.94174
521.5274,373.22577
522.5619,374.50595
524.0849,375.78226
526.09656,377.05478
527.59717,378.3235
529.0869,380.08847
531.066,381.84973
533.53455,383.60727
536.49286,385.36115
539.4413,386.61142
542.38007,387.85822
545.3093,388.6016
548.72943,389.3416
552.6405,390.07843
556.54285,391.3121
560.9367,392.5428
564.8224,393.77054
569.2001,394.99548
573.57,395.71768
578.4325,396.4373
583.28766,397.65436
588.63586,398.86902
593.97723,400.08133
599.8121,401.29144
605.64056,402.4994
611.463,404.20532
616.7796,405.90927
622.59045,407.61133
628.8959,409.31155
635.69604,411.01004
642.9911,412.70685
650.7813,414.40207
659.06683,416.09576
667.84796,417.788
677.12476,419.47888
686.8975,421.1685
696.66644,423.35684
706.93164,425.5441
717.1933,428.23022
727.95166,430.91534
739.2068,433.5995
750.95886,436.2827
763.2081,438.96506
775.95465,441.6466
789.19855,444.32736
