x,y
401.55734,126.395996
402.80396,127.151245
404.5421,127.92068
406.77173,128.70418
409.49268,129.50159
412.70486,130.31267
416.40814,131.13715
420.1024,131.4747
424.28763,131.82494
428.96378,132.18744
433.13083,132.56177
437.78882,132.94751
442.93777,133.34422
448.57767,133.75146
454.70865,134.1687
461.33078,134.59543
467.94418,135.53111
475.04895,136.47523
482.6452,137.4273
490.73312,138.3868
498.81293,139.8532
507.3847,141.32602
516.4487,142.80478
526.00525,144.28903
536.05444,145.7783
546.59656,147.27217
557.632,148.77022
569.16095,150.27205
581.1838,151.7773
593.70074,153.28563
606.71216,154.79674
620.2184,156.3103
634.2196,157.82611
648.71625,159.34389
663.70844,160.86342
679.19653,162.38454
695.1808,163.90706
711.66144,165.43082
728.63873,166.95567
746.1128,168.48152
764.0839,170.00824
782.5523,171.53574
