x,y
409.3295,130.01096
410.54022,130.81606
412.24203,131.63484
413.43478,132.4672
415.11838,133.31303
417.29276,134.17227
419.95776,135.04471
422.11337,135.93013
424.25943,136.82835
426.89587,137.73918
429.02264,138.66241
431.63962,139.59785
434.24677,140.54529
437.34406,141.50446
440.43137,142.97511
444.00867,144.45697
448.07587,145.94972
452.63297,147.45302
457.6799,148.96643
462.21674,150.48955
466.24347,152.02196
470.76016,153.56331
475.76685,155.11327
480.76358,156.67139
485.7505,158.23732
491.2277,159.81065
496.1953,161.391
501.6535,162.97804
507.6024,164.57138
514.0422,166.17065
520.9731,167.7755
527.3954,169.38548
534.30927,171.00032
541.2149,173.11966
548.6127,175.24316
556.0027,177.37054
563.88525,179.50151
571.76056,181.13577
579.62897,182.27306
587.99066,183.41318
596.846,184.55588
605.6951,186.20096
614.53845,187.84824
623.8761,189.49753
633.2084,191.14865
642.53546,192.80147
651.8576,194.95583
660.675,197.1116
669.98785,199.26869
678.7963,201.42696
688.1006,203.58632
697.40076,205.2467
707.1971,206.908
717.4896,208.57016
728.2786,210.2331
739.5643,211.89674
751.3466,213.56105
763.62585,215.22595
775.9021,217.39139
788.1756,220.05731
