step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,312.98065,464.10965,-1.6065886,0.11818784,0.0,2,-0.2,-0.2
1,311.3721,464.20328,-1.6085305,0.59363663,0.0,1,-0.2,-0.4
2,309.76187,464.77234,-2.1102326,0.5690599,0.0,3,-0.2,-0.6000000000000001
3,307.6502,465.31696,-2.1116815,0.044605713,0.0,1,-0.2,-0.8
4,305.53738,465.33722,-2.6128078,0.020262599,0.0,3,-0.2,-1.0
5,302.92377,465.3331,-2.613624,-0.50411177,0.0,1,-0.2,-1.2
6,300.30972,464.80457,-3.1140559,-0.5285169,0.0,1,-0.2,-1.4
7,297.19562,464.2515,-3.614102,-0.55309016,0.0,1,-0.2,-1.5999999999999999
8,293.58194,463.67368,-4.11368,-0.5778186,0.0,1,-0.2,-1.7999999999999998
9,289.46924,463.07098,-4.612705,-0.60267544,0.0,1,-0.2,-1.9999999999999998
10,284.85812,462.4434,-5.1110945,-0.6276179,0.0,2,-0.2,-2.1999999999999997
11,279.74936,461.7908,-5.108767,-0.15258482,0.0,2,-0.2,-2.4
12,274.6437,461.61328,-5.105649,0.32250538,0.0,0,-0.2,-2.6
13,269.54193,461.91116,-4.6017838,0.2978672,0.0,1,-0.2,-2.8000000000000003
14,264.9447,462.18488,-5.0972376,0.27370167,0.0,2,-0.2,-3.0000000000000004
15,259.85257,462.43488,-5.0921164,0.7500076,0.0,1,-0.2,-3.2000000000000006
16,254.76619,463.16174,-5.586396,0.7268647,0.0,2,-0.2,-3.400000000000001
17,249.186,463.86618,-5.5801764,1.2044295,0.0,4,0,-3.400000000000001
18,243.61255,465.04895,-5.5734606,1.1827716,0.0,2,-0.2,-3.600000000000001
19,238.04617,466.21094,-5.5663676,1.6620098,0.0,2,-0.2,-3.800000000000001
20,232.48721,467.8531,-5.558959,2.1421335,0.0,2,-0.2,-4.000000000000001
21,226.93587,469.9763,-5.55135,2.6232162,0.0,2,-0.2,-4.200000000000001
22,221.39221,472.5816,-5.54365,3.1053028,0.0,2,-0.2,-4.400000000000001
23,215.85626,475.67,-5.5359573,3.5884137,0.0,2,-0.2,-4.600000000000001
24,210.32791,479.24255,-5.528358,4.0725484,0.0,0,-0.2,-4.800000000000002
25,204.80698,483.30026,-5.020924,4.0576887,0.0,2,-0.2,-5.000000000000002
26,199.79327,487.34406,-5.0137134,4.543804,0.0,0,-0.2,-5.200000000000002
27,194.78653,491.87482,-4.5067396,4.530766,0.0,0,-0.2,-5.400000000000002
28,190.28648,496.39337,-4.000038,4.518545,0.0,0,-0.2,-5.600000000000002
29,186.29288,500.9004,-3.493606,4.5070314,0.0,1,-0.2,-5.8000000000000025
30,182.80545,505.3965,-3.987437,4.496132,0.0,0,-0.2,-6.000000000000003
