x,y
492.52933,191.6219
493.19522,192.84273
494.34915,194.07018
495.99112,195.30414
498.12115,196.54448
500.73935,197.79102
503.84583,199.0435
507.44073,200.30173
511.5243,201.5654
516.09674,202.83424
521.1583,204.10797
526.7094,205.38626
532.75024,206.66882
539.28125,207.95532
546.3028,209.24547
553.8152,210.53897
561.819,211.83553
570.3144,213.13487
579.302,214.43677
588.7821,215.74094
598.7551,217.04718
609.22144,218.35529
620.18146,219.66505
631.63556,220.9763
643.58405,222.2889
656.0273,223.60266
668.9656,224.9175
682.3993,226.23326
696.3287,227.54987
710.754,228.8672
725.6756,230.1852
741.0936,231.50378
757.00836,232.82286
772.4199,234.14241
788.3287,235.46237
