step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,473.87665,186.69823,0.77858716,1.2050614,0.0,0,-0.2,-0.2
1,474.64227,187.91174,1.2656041,1.2135215,0.0,0,-0.2,-0.4
2,475.89484,189.13364,1.7525609,1.2218928,0.0,0,-0.2,-0.6000000000000001
3,477.6343,190.36377,2.2394998,1.2301251,0.0,0,-0.2,-0.8
4,479.86078,191.60193,2.7264655,1.2381699,0.0,0,-0.2,-1.0
5,482.57428,192.84792,3.2135031,1.245982,0.0,0,-0.2,-1.2
6,485.77496,194.10144,3.700659,1.2535203,0.0,0,-0.2,-1.4
7,489.46292,195.36218,4.1879783,1.2607486,0.0,0,-0.2,-1.5999999999999999
8,493.63843,196.62982,4.6755066,1.2676367,0.0,0,-0.2,-1.7999999999999998
9,498.30173,197.90398,5.163286,1.2741601,0.0,0,-0.2,-1.9999999999999998
10,503.4531,199.18428,5.651358,1.2803015,0.0,0,-0.2,-2.1999999999999997
11,509.09283,200.47034,6.1397586,1.2860492,0.0,0,-0.2,-2.4
12,515.2214,201.76173,6.628521,1.2913985,0.0,0,-0.2,-2.6
13,521.83905,203.05809,7.117673,1.2963501,0.0,0,-0.2,-2.8000000000000003
14,528.9463,204.359,7.6072383,1.30091,0.0,0,-0.2,-3.0000000000000004
15,536.5435,205.66408,8.097235,1.3050889,0.0,0,-0.2,-3.2000000000000006
16,544.63116,206.97298,8.587675,1.3089013,0.0,0,-0.2,-3.400000000000001
17,553.2098,208.28535,9.0785675,1.3123646,0.0,0,-0.2,-3.600000000000001
18,562.27966,209.60085,9.569916,1.3154986,0.0,0,-0.2,-3.800000000000001
19,571.8414,210.91917,10.061717,1.3183244,0.0,0,-0.2,-4.000000000000001
20,581.8953,212.24004,10.5539665,1.3208642,0.0,0,-0.2,-4.200000000000001
21,592.442,213.56317,11.046656,1.3231401,0.0,0,-0.2,-4.400000000000001
22,603.48175,214.88835,11.539773,1.3251746,0.0,0,-0.2,-4.600000000000001
23,615.0151,216.21533,12.033304,1.3269887,0.0,0,-0.2,-4.800000000000002
24,627.0423,217.54395,12.527234,1.3286033,0.0,0,-0.2,-5.000000000000002
25,639.56384,218.87398,13.021544,1.3300376,0.0,0,-0.2,-5.200000000000002
26,652.5801,220.20529,13.516218,1.33131,0.0,0,-0.2,-5.400000000000002
27,666.0913,221.53772,14.011237,1.3324374,0.0,0,-0.2,-5.600000000000002
28,680.0979,222.87115,14.506581,1.3334352,0.0,0,-0.2,-5.8000000000000025
29,694.6001,224.20547,15.0022335,1.3343176,0.0,0,-0.2,-6.000000000000003
30,709.5983,225.54057,15.498174,1.3350973,0.0,0,-0.2,-6.200000000000003
31,725.0927,226.87636,15.994385,1.3357861,0.0,0,-0.2,-6.400000000000003
32,741.08356,228.21275,16.490849,1.3363943,0.0,0,-0.2,-6.600000000000003
33,757.5711,229.54968,16.98755,1.3369311,0.0,0,-0.2,-6.800000000000003
34,774.55554,230.8871,17.484472,1.337405,0.0,0,-0.2,-7.0000000000000036
35,792.0372,232.22491,17.981602,1.3378233,0.0,0,-10,-17.000000000000004
