x,y
443.46732,160.89217
444.46878,161.95766
445.95816,163.0347
447.93536,164.12314
450.4004,165.22276
453.35324,166.33331
456.79395,167.45445
460.72253,168.58582
465.13916,169.72699
470.0439,170.8775
475.43704,172.03687
481.3187,173.20457
487.6892,174.3801
494.54883,175.56288
501.89792,176.75243
509.73682,177.94818
518.0659,179.14964
526.8856,180.35631
536.19635,181.5677
545.9986,182.78337
556.29266,184.00293
567.07904,185.22595
578.35815,186.45209
590.1305,187.68102
602.39636,188.91243
615.1562,190.14607
628.4104,191.38168
642.15924,192.61905
656.4032,193.85796
671.1425,195.09825
685.3775,196.33977
700.1084,197.58237
715.3356,198.82594
731.05914,200.07037
747.2794,201.31558
763.99664,202.56148
781.2109,203.80797
798.9224,205.05502
