x,y
349.52982,475.59738
348.04974,475.98654
347.06433,476.35635
346.5738,476.7068
346.57816,477.03793
347.07745,477.3498
348.07166,477.6425
349.5607,477.9162
351.5445,478.17102
354.02292,478.40723
356.99576,478.62503
360.46286,478.82477
364.42392,479.00674
368.87875,479.1714
373.8271,479.3191
379.26868,479.4504
385.20325,479.56586
391.63055,479.66605
398.5504,479.75162
405.96268,479.82327
413.86713,479.8817
422.2637,479.9277
431.15237,479.96204
440.53308,479.9855
450.40594,479.99887
460.771,480.00293
471.62845,479.99844
482.97845,479.98615
494.8212,479.96677
507.157,479.94092
519.98615,479.90927
533.30884,479.87238
547.1254,479.8308
561.4363,479.78503
576.2417,479.7355
591.54193,479.6826
607.3373,479.62674
623.6281,479.5682
640.41473,479.5073
657.6973,479.4443
675.47614,479.37943
693.7515,479.3129
712.5237,479.2449
731.7928,479.17557
751.5591,479.10507
771.82275,479.03354
792.584,478.9611
