x,y
529.47943,238.0939
529.8131,239.39243
530.6353,240.69395
531.94617,241.99841
533.74567,243.30571
536.034,244.61572
538.8112,245.92833
542.0776,247.24341
545.8334,248.56078
550.07874,249.88033
554.8141,251.2019
560.03973,252.52533
565.7559,253.85048
571.9631,255.17719
578.6616,256.50534
585.8518,257.83478
593.5341,259.16537
601.70886,260.497
610.3765,261.82962
619.53735,263.16302
629.19183,264.4972
639.3402,265.832
649.9829,267.1674
661.1202,268.50327
672.75244,269.8396
684.87994,271.17633
697.5029,272.5134
710.62177,273.85074
724.2367,275.18832
738.3479,276.52612
752.9556,277.8641
768.0601,279.20227
783.66156,280.54056
799.7602,281.87897
