step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,495.80695,270.9196,0.20973945,1.4539639,0.0,0,-0.2,-0.2
1,495.99982,272.37607,0.69289196,1.456466,0.0,0,-0.2,-0.4
2,496.67584,273.8349,1.1760234,1.4588435,0.0,0,-0.2,-0.6000000000000001
3,497.83508,275.296,1.659217,1.4610792,0.0,0,-0.2,-0.8
4,499.47763,276.75916,2.1425552,1.4631598,0.0,0,-0.2,-1.0
5,501.60373,278.2242,2.626118,1.4650749,0.0,0,-0.2,-1.2
6,504.2137,279.69104,3.1099799,1.4668181,0.0,0,-0.2,-1.4
7,507.30792,281.15942,3.5942101,1.4683864,0.0,0,-0.2,-1.5999999999999999
8,510.8868,282.6292,4.078871,1.4697804,0.0,0,-0.2,-1.7999999999999998
9,514.9508,284.10022,4.5640144,1.4710041,0.0,0,-0.2,-1.9999999999999998
10,519.5005,285.57227,5.049687,1.4720639,0.0,0,-0.2,-2.1999999999999997
11,524.53644,287.04523,5.5359235,1.4729686,0.0,0,-0.2,-2.4
12,530.0592,288.51898,6.0227513,1.4737285,0.0,0,-0.2,-2.6
13,536.06934,289.99332,6.510188,1.4743556,0.0,0,-0.2,-2.8000000000000003
14,542.5676,291.46817,6.998244,1.4748619,0.0,0,-0.2,-3.0000000000000004
15,549.5545,292.94345,7.4869213,1.4752601,0.0,0,-0.2,-3.2000000000000006
16,557.03076,294.419,7.9762173,1.4755628,0.0,0,-0.2,-3.400000000000001
17,564.9969,295.89478,8.466122,1.475782,0.0,0,-0.2,-3.600000000000001
18,573.4535,297.37073,8.956621,1.4759291,0.0,0,-0.2,-3.800000000000001
19,582.4012,298.84674,9.447697,1.476015,0.0,0,-0.2,-4.000000000000001
20,591.8405,300.32278,9.939328,1.4760492,0.0,0,-0.2,-4.200000000000001
21,601.77203,301.79883,10.431492,1.4760405,0.0,0,-0.2,-4.400000000000001
22,612.19617,303.2748,10.924163,1.4759969,0.0,0,-0.2,-4.600000000000001
23,623.11346,304.75073,11.417316,1.475925,0.0,0,-0.2,-4.800000000000002
24,634.5244,306.22656,11.910926,1.475831,0.0,0,-0.2,-5.000000000000002
25,646.4294,307.7023,12.404964,1.47572,0.0,0,-0.2,-5.200000000000002
26,658.8288,309.1779,12.899407,1.4755965,0.0,0,-0.2,-5.400000000000002
27,671.723,310.65335,13.394229,1.4754641,0.0,0,-0.2,-5.600000000000002
28,685.1124,312.1287,13.889404,1.4753258,0.0,0,-0.2,-5.8000000000000025
29,698.9973,313.60385,14.384911,1.4751843,0.0,0,-0.2,-6.000000000000003
30,713.37805,315.07892,14.880726,1.4750416,0.0,0,-0.2,-6.200000000000003
31,728.2549,316.5538,15.376828,1.4748994,0.0,1,-0.2,-6.400000000000003
32,743.62805,318.02856,14.873197,1.4747591,0.0,0,-0.2,-6.600000000000003
33,758.49786,319.50317,15.369814,1.4746215,0.0,0,-0.2,-6.800000000000003
34,773.86456,320.97766,15.866648,1.4744868,0.0,0,-0.2,-7.0000000000000036
35,789.7282,322.45203,16.363684,1.4743557,0.0,0,-10,-17.000000000000004
