x,y
241.6545,127.95388
243.11552,127.48744
245.0829,127.04021
247.5564,126.6123
250.5358,126.20386
254.02078,125.81507
258.01102,125.446175
262.5061,125.097404
267.00555,124.769035
272.00888,124.461296
277.51556,124.17441
283.5249,123.9086
290.03625,123.66403
297.0488,123.44083
304.5617,123.23903
312.57407,123.05856
321.08493,122.899254
330.09332,122.76079
339.59824,122.64268
349.59875,122.54429
360.09396,122.464836
371.0831,122.40338
382.56546,122.35886
394.54047,122.33011
407.00775,122.3159
419.96704,122.31499
433.41818,122.3261
447.36124,122.34804
461.79626,122.37961
476.7235,122.41973
492.14325,122.467384
508.05585,122.52166
524.4617,122.581726
541.361,122.64685
558.75446,122.716385
576.6423,122.78974
595.02484,122.86644
613.90265,122.946045
633.27594,123.02817
653.1451,123.11249
673.51044,123.19873
694.3722,123.28664
715.7308,123.37601
737.5863,123.46666
759.939,123.55843
782.7892,123.65119
