step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,440.57047,250.97418,0.5476201,1.6030744,0.51252145,3,0.30429998235585237,0.30429998235585237
1,441.08966,252.58717,0.5191861,1.1129911,0.5043,1,0.29776023382631095,0.6020602161821633
2,441.5803,253.70976,-0.009370999,1.1225877,0.49776024,1,0.2941774580831987,0.8962376742653619
3,441.54233,254.8417,-0.5379625,1.1319357,0.49417746,1,0.29348260476081495,1.189720279026177
4,440.97556,255.98283,-1.0667685,1.1411262,0.49348262,1,0.2955842484411844,1.4853045274673613
5,439.87958,257.1331,-1.5959775,1.1502461,0.49558425,1,0.3003633595574788,1.7856678870248401
6,438.25378,258.29245,-2.1257915,1.1593828,0.50036335,2,0.30766579377324116,2.0933336807980814
7,436.09735,259.4611,-2.1564329,1.6686265,0.5076658,4,0.5126138539329486,2.6059475347310297
8,433.9092,261.13916,-2.1881526,1.6780748,0.51261383,1,0.31703975696736414,2.922987291698394
9,431.68808,262.8268,-2.7211218,1.6876426,0.5170398,0,0.3233717008871903,3.2463589925855842
10,428.93265,264.52414,-2.2554276,1.6973264,0.5233717,2,0.32656337159162313,3.572922364177207
11,426.64124,266.23135,-2.2914138,2.2072282,0.52656335,2,0.3266789226506022,3.8996012868278096
12,424.3123,268.4486,-2.3289552,2.7172384,0.5266789,1,0.323382956261637,4.222984243089447
13,421.944,271.1758,-2.8682835,2.7272203,0.52338296,1,0.3210085115713656,4.543992754660812
14,419.03436,273.9128,-3.4096518,2.7369986,0.5210085,4,0.5191076581150075,5.06310041277582
15,415.58078,276.65942,-3.4535553,2.7466204,0.51910764,0,0.31552477649357974,5.3786251892694
16,412.08017,279.41556,-3.0006092,2.7561224,0.5155248,1,0.30878265768394514,5.687407846953345
17,409.02902,282.18097,-3.5511608,2.7654066,0.5087827,0,0.30202027648987645,5.989428123443221
18,405.4239,284.9552,-3.1051302,2.7742271,0.5020203,1,0.29247859478428745,6.281906718227509
19,402.2605,287.73773,-3.6633933,2.7825418,0.4924786,3,0.2826304502148688,6.564537168442378
20,398.53464,290.52777,-3.7258656,2.2900329,0.48263046,1,0.27444657573335535,6.838983744175733
21,394.74097,292.8243,-4.2936664,2.2965508,0.47444656,1,0.2654029285839979,7.104386672759731
22,390.37357,295.12643,-4.867389,2.3021345,0.46540293,3,0.25493957339049517,7.359326246150227
23,385.42484,297.43298,-4.948753,1.8065221,0.45493957,1,0.2456340133648593,7.604960259515086
24,380.38474,299.24225,-5.54009,1.8092668,0.445634,1,0.23416117482173077,7.839121434336817
25,374.74136,301.0525,-6.1433663,1.8102404,0.4341612,4,0.41987441556317795,8.258995849899994
26,368.47855,302.86102,-6.262807,1.8085585,0.41987443,0,0.2026505290730995,8.461646378973095
27,362.0738,304.66367,-5.9047647,1.8026274,0.40265054,2,0.1832805048422365,8.644926883815332
28,355.99728,306.4534,-6.0765243,2.289723,0.38328052,0,0.15826700424650514,8.803193888061838
29,349.71207,308.71906,-5.785202,2.265674,0.358267,2,0.13203093162124818,8.935224819683086
30,343.6688,310.93948,-6.0432754,2.72041,0.33203092,1,0.10074477219180183,9.035969591874888
31,337.30606,313.57986,-6.862732,2.640383,0.30074477,2,0.06629942494866775,9.102269016823556
32,330.0454,316.07538,-7.2606425,2.995539,0.26629943,1,0.0270707054832528,9.129339722306808
33,322.27795,318.79977,-8.267462,2.7243724,0.2270707,3,-0.014804484422330677,9.114535237884477
34,313.41022,321.01758,-8.867739,1.7178148,0.18519552,1,-0.05336597988208308,9.061169258002394
35,303.9649,321.8302,-9.945306,0.812605,0.14663403,1,-0.09074302334122192,8.970426234661172
36,293.7773,321.3088,-10.687589,-0.52136725,0.109256975,2,-0.12565747262248544,8.844768762038687
37,283.4694,319.48737,-10.307931,-1.3214601,0.07434253,1,-0.15991873928127692,8.68485002275741
38,273.82263,317.38647,-10.146773,-2.1008768,0.04008126,0,-0.1953872657006283,8.489462757056781
39,264.23883,314.91168,-9.08379,-2.4747987,0.004612734,4,0,8.489462757056781
40,255.56538,312.26578,-8.673444,-2.6459045,0.0,1,-0.2,8.289462757056782
41,247.19472,309.5363,-8.870667,-2.7294834,0.0,0,-0.2,8.089462757056783
42,238.55217,306.76562,-8.142558,-2.7706785,0.0,1,-0.2,7.889462757056783
43,230.5832,303.97583,-8.468962,-2.789792,0.0,2,-0.2,7.689462757056782
44,222.25208,301.17813,-8.331132,-2.297686,0.0,1,-0.2,7.489462757056782
45,214.03131,298.87878,-8.720756,-2.2993586,0.0,1,-0.2,7.289462757056782
46,205.40085,296.5806,-9.130471,-2.2981813,0.0,1,-0.2,7.089462757056782
47,196.3448,294.2851,-9.556035,-2.2954907,0.0,1,-0.2,6.889462757056782
48,186.85062,291.993,-9.994199,-2.2920814,0.0,3,-0.2,6.6894627570567815
49,176.90816,289.70462,-9.942456,-2.7884197,0.0,0,-0.2,6.489462757056781
