x,y
89.620384,183.09544
90.28118,181.93854
91.45203,180.78728
93.132904,179.64177
94.32386,178.5021
95.02489,177.36841
96.235954,176.2407
97.957054,175.1191
100.18822,174.00371
102.9295,172.89471
105.18098,171.79228
107.94271,170.69661
111.21477,169.60788
114.99726,168.52635
118.29031,167.45235
121.59403,165.8861
125.40845,164.32791
128.73366,162.77809
132.56967,161.23695
136.91655,159.7048
141.77437,158.18207
146.64319,156.6692
151.02309,155.16667
154.91406,153.67493
159.3161,152.19434
164.2292,150.72536
169.65332,149.26851
175.08844,147.82437
181.03448,146.39354
187.49136,144.9767
194.45891,143.57457
201.93695,142.18799
209.92519,140.81781
218.42326,139.46501
227.43065,138.13055
235.94673,136.81546
244.97073,135.52058
254.00177,134.74673
263.0389,133.99475
272.58105,133.26527
282.62698,132.55888
293.17535,131.8759
304.22467,131.21649
315.7734,130.58047
327.82,129.9674
340.36298,129.37654
352.40094,128.8068
364.9328,128.25697
377.95767,127.725655
391.47485,127.21135
405.4839,126.71247
419.48444,126.72745
433.97647,126.75483
448.96,126.79321
463.43515,126.8413
477.90225,127.39795
492.86154,127.96216
508.3134,128.53302
524.2581,129.10971
539.6962,129.69148
554.628,130.27773
570.0539,130.86794
585.4742,131.46162
600.8892,132.0584
616.2994,132.15791
632.2049,132.25987
647.60614,132.364
663.50336,132.47008
679.8968,132.5779
696.7867,132.68727
714.1733,132.79805
732.0567,132.9101
749.9373,133.02324
768.3151,133.1374
786.6904,133.25247
