step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,238.8466,192.81868,1.6239935,-0.9084419,0.6002126,0,0.3879480013929319,0.3879480013929319
1,240.49232,191.94832,2.1457145,-0.87037235,0.587948,0,0.3730207012719891,0.760968702664921
2,242.6592,191.11636,2.6668744,-0.83195114,0.5730207,0,0.35537538533402263,1.1163440879989437
3,245.3466,190.32341,3.1874106,-0.7929549,0.5553754,0,0.33493610204646534,1.451280190045409
4,248.55383,189.57024,3.7072349,-0.75317264,0.53493613,2,0.311614876995481,1.76289506704089
5,252.28006,188.85783,3.7262256,-0.21240869,0.51161486,2,0.2899062977993932,2.0528013648402834
6,256.0243,188.68733,3.7442245,0.32951185,0.4899063,4,0.46962837989335793,2.5224297447336412
7,259.78564,189.06018,3.7613444,0.3728465,0.4696284,0,0.24899131311544603,2.7714210578490874
8,263.56332,189.47809,4.277679,0.41790813,0.4489913,2,0.22505129166595655,2.996472349515044
9,267.8564,189.94281,4.2931094,0.9647133,0.4250513,3,0.20215029736252282,3.1986226468775665
10,272.16376,190.95625,4.307343,0.5134485,0.4021503,0,0.17742510292127694,3.3760477497988433
11,276.48413,191.52077,4.8203773,0.564508,0.3774251,2,0.1493147524198672,3.5253625022187105
12,281.316,192.13821,4.831854,1.1174495,0.34931475,0,0.12205429021422037,3.647416792432931
13,286.15735,193.31055,5.34136,1.172329,0.3220543,4,0.29120546439155115,3.938622256824482
14,291.50613,194.54005,5.34878,1.2295145,0.29120547,0,0.05992068507617426,3.9985429419006566
15,296.8597,195.829,5.8535666,1.288946,0.2599207,0,0.02505036249182585,4.023593304392483
16,302.71512,197.17937,6.355418,1.3503673,0.22505036,0,-0.013414225502432708,4.01017907889005
17,309.06888,198.5928,6.853753,1.4134325,0.18658577,2,-0.055467604047343244,3.9547114748427066
18,315.9169,200.07037,6.8480177,1.9775649,0.1445324,3,-0.09716109382409438,3.857550381018612
19,322.75467,202.1123,6.8377643,1.5419366,0.1028389,0,-0.13982698936850418,3.717723391650108
20,329.57745,203.71861,7.3228016,1.6063038,0.060173012,0,-0.1859600512142256,3.5317633404358824
21,336.88095,205.3878,7.8034825,1.6691926,0.014039949,0,-0.2,3.331763340435882
22,344.66092,207.1173,8.279975,1.7294983,0.0,0,-0.2,3.131763340435882
23,352.91367,208.90343,8.752746,1.7861277,0.0,2,-0.2,2.931763340435882
24,361.6362,210.74156,8.72254,2.3381288,0.0,0,-0.2,2.7317633404358816
25,370.3265,213.12636,9.190308,2.3848062,0.0,4,0,2.7317633404358816
26,379.48322,215.55269,9.156693,2.4263303,0.0,0,-0.2,2.5317633404358815
27,388.6059,218.01515,9.62268,2.462468,0.0,0,-0.2,2.3317633404358813
28,398.19495,220.50873,10.089063,2.4935732,0.0,0,-0.2,2.131763340435881
29,408.2515,223.02861,10.556561,2.5198839,0.0,0,-0.2,1.9317633404358812
30,418.77722,225.57042,11.025731,2.5418055,0.0,3,-0.2,1.7317633404358812
31,429.77417,228.13026,10.996945,2.059843,0.0,0,-0.2,1.5317633404358812
32,440.7446,230.2048,11.470414,2.0745366,0.0,0,-0.2,1.3317633404358813
33,452.1908,232.29135,11.946187,2.086551,0.0,1,-0.2,1.1317633404358813
34,464.115,234.38768,11.424209,2.0963285,0.0,0,-0.2,0.9317633404358814
35,475.51935,236.49194,11.90437,2.10426,0.0,1,-0.2,0.7317633404358814
36,487.40573,238.60272,11.386356,2.1107779,0.0,0,-0.2,0.5317633404358815
37,498.77576,240.71884,11.870048,2.116121,0.0,0,-0.2,0.33176334043588146
38,510.63095,242.8394,12.355183,2.1205542,0.0,0,-0.2,0.13176334043588145
39,522.9726,244.96362,12.84166,2.124224,0.0,0,-0.2,-0.06823665956411856
40,535.802,247.09088,13.329374,2.1272564,0.0,4,0,-0.06823665956411856
41,549.1202,249.22063,13.318224,2.1297584,0.0,0,-0.2,-0.2682366595641186
42,562.4283,251.35245,13.808106,2.1318207,0.0,0,-0.2,-0.4682366595641186
43,576.22723,253.48598,14.298894,2.1335285,0.0,4,0,-0.4682366595641186
44,590.5177,255.62093,14.290506,2.1349409,0.0,0,-0.2,-0.6682366595641186
45,604.8006,257.75702,14.782867,2.1361077,0.0,0,-0.2,-0.8682366595641187
46,619.5765,259.8941,15.275886,2.1370754,0.0,0,-0.2,-1.0682366595641186
47,634.84595,262.03198,15.769502,2.1378765,0.0,0,-0.2,-1.2682366595641186
48,650.6096,264.17053,16.263662,2.1385388,0.0,0,-0.2,-1.4682366595641185
49,666.8679,266.3096,16.758316,2.139085,0.0,0,-0.2,-1.6682366595641185
50,683.62134,268.44913,17.25342,2.1395347,0.0,0,-0.2,-1.8682366595641184
51,700.8703,270.58905,17.74893,2.139904,0.0,0,-0.2,-2.0682366595641186
52,718.6151,272.72925,18.24481,2.140206,0.0,3,-0.2,-2.268236659564119
53,736.85614,274.8697,18.241026,1.6404527,0.0,4,0,-2.268236659564119
54,755.0937,276.51035,18.237545,1.6406529,0.0,0,-0.2,-2.468236659564119
55,773.328,278.15118,18.734335,1.6408186,0.0,2,-0.2,-2.668236659564119
56,792.0594,279.79214,18.731365,2.1409557,0.0,3,-10,-12.66823665956412
