step,action
0,2
1,1
2,1
3,4
4,2
5,2
6,0
7,1
8,3
9,4
10,1
11,1
12,3
13,0
14,1
15,4
16,0
17,1
18,2
19,3
20,1
21,4
22,0
23,2
24,4
25,1
26,3
27,4
28,2
29,1
30,2
31,4
32,0
33,1
34,4
35,1
36,4
37,1
38,1
39,2
40,4
41,3
42,3
43,0
44,1
45,4
46,1
47,0
48,3
49,1
50,4
51,2
52,2
53,1
54,1
55,0
56,3
57,1
58,4
59,0
60,0
61,3
62,3
63,2
64,0
65,0
66,2
67,4
68,2
69,0
70,1
71,1
72,1
73,4
74,2
75,0
76,1
77,1
78,0
79,3
80,4
81,0
82,1
83,4
84,4
85,1
86,2
87,2
88,3
89,1
90,1
91,3
92,0
93,1
94,0
95,1
96,3
97,3
98,1
99,1
100,0
101,1
102,0
103,3
104,2
105,4
106,4
107,1
108,1
109,1
110,0
111,4
112,3
113,4
114,2
115,2
116,1
117,2
118,0
119,2
120,2
121,1
122,2
123,2
124,3
125,0
126,3
127,3
128,4
129,4
130,3
131,0
132,4
133,0
134,2
135,2
136,0
137,2
138,2
139,1
140,2
141,0
142,4
143,0
144,1
145,3
146,3
147,4
148,4
149,0
150,3
151,3
152,4
153,1
154,2
155,4
156,3
157,2
158,0
159,0
160,1
161,1
162,4
163,3
164,3
165,1
166,4
167,2
168,1
169,1
170,0
171,3
172,0
173,0
174,1
175,2
176,4
177,2
178,4
179,1
180,4
181,3
182,2
183,1
184,3
185,0
186,2
187,1
188,4
189,4
190,1
191,4
192,3
193,3
194,0
195,3
196,0
197,1
198,0
199,2
200,3
201,1
202,4
203,0
204,0
205,0
206,3
207,1
208,0
209,0
210,4
211,0
212,4
213,1
214,1
215,0
216,4
217,1
218,1
219,0
220,3
221,4
222,1
223,2
224,1
225,2
226,1
227,4
228,1
229,2
230,0
231,2
232,3
233,2
234,1
235,0
236,3
237,3
238,1
239,3
240,3
241,1
242,0
243,2
244,0
245,3
246,0
247,4
248,4
249,4
250,2
251,1
252,3
253,3
254,1
255,0
256,3
257,0
258,2
259,3
260,4
261,1
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,1
270,2
271,0
272,4
273,2
274,2
275,2
276,0
277,3
278,0
279,3
280,1
281,3
282,1
283,1
284,1
285,1
286,2
287,0
288,2
289,1
290,0
291,2
292,4
293,1
294,1
295,0
296,4
297,1
298,2
299,3
300,1
301,2
302,4
303,4
304,3
305,3
306,4
307,0
308,1
309,4
310,4
311,2
312,0
313,4
