step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,291.47885,413.51306,-1.9306078,-0.16349186,0.0,4,0,0
1,289.5521,413.29822,-1.9267521,-0.21485505,0.0,0,-0.2,-0.2
2,287.6301,413.032,-1.4220178,-0.26619342,0.0,0,-0.2,-0.4
3,286.21368,412.7145,-0.91640204,-0.31750858,0.0,0,-0.2,-0.6000000000000001
4,285.30356,412.3456,-0.41011798,-0.36888587,0.0,1,-0.2,-0.8
5,284.90018,411.9252,-0.9033743,-0.42043707,0.0,0,-0.2,-1.0
6,284.0038,411.45288,-0.39637846,-0.47229302,0.0,0,-0.2,-1.2
7,283.6149,410.9285,0.1111009,-0.5244052,0.0,1,-0.2,-1.4
8,283.73376,410.35156,-0.38114265,-0.5769171,0.0,1,-0.2,-1.5999999999999999
9,283.36044,409.7216,-0.87332,-0.6299865,0.0,0,-0.2,-1.7999999999999998
10,282.49527,409.03802,-0.36519438,-0.68356717,0.0,3,-0.2,-1.9999999999999998
11,282.13873,408.3004,-0.35651976,-1.2376018,0.0,0,-0.2,-2.1999999999999997
12,281.79123,407.00815,0.15249477,-1.2922608,0.0,2,-0.2,-2.4
13,281.95322,405.66006,0.16199732,-0.8481047,0.0,0,-0.2,-2.6
14,282.125,404.7547,0.6717773,-0.9053646,0.0,0,-0.2,-2.8000000000000003
15,282.80673,403.79108,1.1817183,-0.9636232,0.0,0,-0.2,-3.0000000000000004
16,283.9983,402.76794,1.6915731,-1.023114,0.0,0,-0.2,-3.2000000000000006
17,285.69937,401.68387,2.201066,-1.0840794,0.0,3,-0.2,-3.400000000000001
18,287.90924,400.5371,2.2098813,-1.6467612,0.0,2,-0.2,-3.600000000000001
19,290.1269,398.8257,2.2176533,-1.2113856,0.0,3,-0.2,-3.800000000000001
20,292.3513,397.547,2.2243795,-1.7787135,0.0,3,-0.2,-4.000000000000001
21,294.58112,395.6988,2.229829,-2.3482132,0.0,0,-0.2,-4.200000000000001
22,296.81503,393.27805,2.733936,-2.4207413,0.0,0,-0.2,-4.400000000000001
23,299.5516,390.78073,3.2365506,-2.4973164,0.0,0,-0.2,-4.600000000000001
24,302.78854,388.20242,3.7369506,-2.5783007,0.0,0,-0.2,-4.800000000000002
25,306.5228,385.53848,4.2342424,-2.6639636,0.0,0,-0.2,-5.000000000000002
26,310.75012,382.7841,4.727347,-2.7543917,0.0,0,-0.2,-5.200000000000002
27,315.46515,379.93472,5.2150135,-2.8493683,0.0,0,-0.16347748614692098,-5.363477486146923
28,320.66104,376.98648,5.6958876,-2.9482224,0.036522515,4,0.07878705055154545,-5.284690435595378
29,326.32968,373.93683,5.66866,-3.0496764,0.07878705,0,-0.07877187520471979,-5.363462310800098
30,331.962,370.78506,6.132312,-3.1517477,0.12122812,0,-0.03362473050919529,-5.397087041309293
31,338.0488,367.53247,6.5867777,-3.2525904,0.16637526,1,0.014106635433518033,-5.382980405875775
32,344.58102,364.1831,6.0322504,-3.3493702,0.21410663,0,0.0592451188867002,-5.323735286989074
33,350.55093,360.744,6.469903,-3.4391315,0.25924513,0,0.10679238386164663,-5.2169429031274275
34,356.95248,357.2227,6.9015417,-3.5212774,0.30679238,1,0.15658755521657425,-5.060355347910853
35,363.7818,353.62885,6.329307,-3.5938544,0.35658756,1,0.2036386200494978,-4.856716727861356
36,370.03754,349.97314,5.755742,-3.655709,0.40363863,3,0.2480122114128272,-4.608704516448529
37,375.71988,346.26505,5.6823483,-4.208077,0.4480122,0,0.29449046974953635,-4.314214046698992
38,381.3299,342.0128,6.1100173,-4.2522717,0.49449047,0,0.34302534823174374,-3.971188698467248
39,387.36914,337.72397,6.5392523,-4.288827,0.5430254,1,0.39342913123061546,-3.5777595672366327
40,393.84073,333.4059,5.9715934,-4.3180404,0.59342915,0,0.44111592826418694,-3.136643638972446
41,399.74896,329.0653,6.4082217,-4.3405995,0.6411159,0,0.4903297702613751,-2.6463138687110708
42,406.0978,324.70743,6.8488607,-4.3578963,0.6903298,3,0.5404544874159574,-2.1058593812951134
43,412.8919,320.33676,6.794085,-4.870652,0.7404545,1,0.5915699572919277,-1.5142894240031857
44,419.63608,315.45712,6.2441654,-4.8796453,0.79156995,1,0.6385163967010403,-0.8757730273021453
45,425.83475,310.5716,5.6986775,-4.8855224,0.8385164,0,0.6801075830258136,-0.1956654442763317
46,431.49173,305.6826,6.156969,-4.889026,0.8801076,1,10,9.804334555723669
