step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,223.74294,190.14294,1.475965,-1.008199,0.0,2,-0.2,-0.2
1,225.24019,189.1654,1.4972463,-0.47754082,0.0,0,-0.2,-0.4
2,226.75832,188.71883,2.018128,-0.44658294,0.0,3,-0.2,-0.6000000000000001
3,228.79712,188.30365,2.0388029,-0.9151701,0.0,3,-0.2,-0.8
4,230.85637,187.42056,2.0592504,-1.3830942,0.0,2,-0.2,-1.0
5,232.93564,186.07004,2.0792618,-0.8505116,0.0,2,-0.2,-1.2
6,235.03427,185.25244,2.0986335,-0.31760243,0.0,2,-0.2,-1.4
7,237.15181,184.96825,2.1175451,0.21580094,0.0,2,-0.2,-1.5999999999999999
8,239.28798,185.21812,2.1361694,0.74988914,0.0,2,-0.2,-1.7999999999999998
9,241.44266,186.003,2.1546776,1.2848804,0.0,2,-0.2,-1.9999999999999998
10,243.6159,187.32404,2.1732452,1.821027,0.0,3,-0.2,-2.1999999999999997
11,245.80797,189.18266,2.1920595,1.3586249,0.0,2,-0.2,-2.4
12,248.01929,190.58069,2.2113276,1.898026,0.0,2,-0.2,-2.6
13,250.25014,192.51979,2.2308438,2.439108,0.0,1,-0.2,-2.8000000000000003
14,252.50096,195.00209,1.7508308,2.482288,0.0,2,-0.2,-3.0000000000000004
15,254.2725,197.53017,1.7715445,3.028076,0.0,3,-0.2,-3.2000000000000006
16,256.06564,200.60664,1.7931461,2.5764828,0.0,2,-0.2,-3.400000000000001
17,257.88165,203.23482,1.8159955,3.1281753,0.0,1,-0.2,-3.600000000000001
18,259.72156,206.41794,1.3399119,3.1831224,0.0,2,-0.2,-3.800000000000001
19,261.08688,209.66013,1.3653325,3.7421837,0.0,2,-0.2,-4.000000000000001
20,262.47952,213.46567,1.3926215,4.3055377,0.0,4,0,-4.000000000000001
21,263.90198,217.84004,1.4224672,4.3743715,0.0,2,-0.2,-4.200000000000001
22,265.3578,222.29028,1.4558041,4.950247,0.0,0,-0.2,-4.400000000000001
23,266.85114,227.32474,1.9933448,5.0344586,0.0,2,-0.2,-4.600000000000001
24,268.88788,232.45438,2.0367546,5.6296296,0.0,2,-0.2,-4.800000000000002
25,270.97513,238.19362,2.087244,6.2392445,0.0,2,-0.2,-5.000000000000002
26,273.12323,244.56244,2.1480927,6.8688173,0.0,2,-0.2,-5.200000000000002
27,275.34802,251.58948,2.2248018,7.5270414,0.0,2,-0.19953900501142713,-5.399539005011429
28,277.67545,259.31802,2.3274226,8.228564,0.00046099498,2,-0.14730930574459172,-5.546848310756021
29,280.15198,267.81833,2.4765296,9.000281,0.052690696,1,-0.09063395951022885,-5.63748227026625
30,282.8736,277.21597,2.2216039,9.397646,0.10936604,0,-0.032381344366031295,-5.669863614632281
31,285.5888,287.2703,3.2152264,10.054334,0.16761866,2,0.0386736936270064,-5.631189921005275
32,290.15698,298.5197,4.568175,11.749421,0.23867369,0,0.1496062007910322,-5.481583720214243
33,301.38675,311.27097,11.729774,12.75125,0.3496062,2,0.2392943766792917,-5.242289343534951
34,312.4845,318.8854,11.097752,8.114436,0.43929437,2,0.3227942826469861,-4.919495060887965
35,322.86414,325.9135,10.379614,7.528105,0.5227943,1,0.4046214801312002,-4.514873580756765
36,332.874,333.02255,9.509871,7.1090484,0.60462147,4,0.6817487034775254,-3.8331248772792397
37,342.167,339.91376,9.292995,6.891193,0.6817487,2,0.5575633170644352,-3.2755615602148045
38,351.3162,346.66885,9.149212,7.255093,0.7575633,2,0.6344569895504251,-2.641104570664379
39,360.3628,353.8306,9.046585,7.6617603,0.834457,0,10,7.358895429335621
