step,action
0,2
1,1
2,0
3,0
4,4
5,2
6,1
7,3
8,2
9,1
10,3
11,1
12,3
13,4
14,2
15,1
16,3
17,4
18,4
19,1
20,3
21,3
22,1
23,0
24,0
25,4
26,4
27,1
28,2
29,1
30,3
31,2
32,2
33,3
34,3
35,3
36,0
37,3
38,3
39,3
40,4
41,0
42,4
43,0
44,4
45,3
46,2
47,2
48,1
49,4
50,1
51,0
52,2
53,4
54,2
55,1
56,0
57,3
58,3
59,1
60,3
61,2
62,0
63,1
64,4
65,2
66,0
67,1
68,4
69,2
70,3
71,3
72,2
73,2
74,4
75,0
76,2
77,3
78,4
79,2
80,0
81,0
82,2
83,3
84,4
85,1
86,0
87,0
88,2
89,0
90,0
91,2
92,4
93,3
94,2
95,3
96,2
97,1
98,3
99,1
100,3
101,0
102,1
103,2
104,2
105,4
106,4
107,2
108,3
109,4
110,0
111,4
112,4
113,4
114,0
115,1
116,0
117,4
118,4
119,0
120,4
121,2
122,2
123,3
124,2
125,4
126,0
127,1
128,0
129,4
130,0
131,4
132,1
133,4
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,4
142,0
143,4
144,1
145,2
146,3
147,3
148,4
