x,y
419.30527,199.58447
420.34253,200.87482
421.3586,202.18263
422.3533,204.00769
423.3263,206.34978
424.2771,209.2087
425.20514,212.08424
426.10986,214.97617
426.49066,217.88423
426.84686,220.80826
427.17773,224.24811
427.48242,227.20354
427.76022,230.67432
428.01028,234.66017
428.23154,239.16072
428.42285,244.17546
428.58298,249.70377
428.71048,255.74484
428.30392,261.7976
427.86166,267.36102
427.38226,273.43393
426.8643,280.01486
425.80634,286.60208
424.7069,293.69373
423.56476,301.28754
422.37888,309.38092
421.14883,317.9709
