x,y
263.93982,397.72165
262.06854,396.942
260.21973,396.605
258.39417,396.71146
256.59244,397.2626
255.31467,397.76004
254.06091,398.70493
252.83092,400.09875
251.62416,401.94327
250.43988,404.24045
249.27711,406.99237
248.13474,409.20126
247.01195,411.86893
245.9078,414.99722
244.82126,418.0881
243.25133,421.1434
242.19724,424.16495
241.15814,427.65424
240.13321,431.61282
239.12148,436.04236
238.12202,440.94446
237.1339,446.32077
236.15616,452.1729
234.68791,458.00247
233.22836,464.3109
231.77682,471.09967
230.33257,477.3702
228.89502,483.1236
227.46373,489.36087
226.03825,495.583
224.61818,502.29083
223.20311,508.48526
221.29271,514.667
219.3867,521.33673
216.9848,527.9952
214.58679,535.143
211.69243,542.28076
209.30148,549.4091
206.91379,557.02856
204.52914,564.1396
202.14735,570.7427
199.76833,577.8382
197.39188,584.4265
195.01791,591.50793
193.1463,598.5828
191.27692,606.1515
189.40965,613.21423
188.04442,620.2712
186.68108,627.3227
185.81956,634.36896
184.95978,641.91016
184.10164,648.94653
183.24504,656.4782
182.38992,664.5053
181.53621,672.02814
180.1838,679.5468
178.83269,686.56146
177.48279,693.0722
176.13405,699.07916
174.78645,705.0825
173.43994,711.58234
172.5945,718.0787
171.25006,724.57166
169.90662,730.56146
168.56413,737.04803
167.22256,744.03156
165.88188,751.51215
164.54207,759.4898
163.20306,767.4647
161.86485,775.9369
160.5274,783.9065
159.19067,792.37354
