step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,512.4077,243.03145,0.35624248,1.3474276,0.0,2,-0.2,-0.2
1,512.7506,244.38246,0.34291303,1.8510026,0.0,3,-0.2,-0.4
2,513.0802,246.23695,0.32955945,1.3544935,0.0,2,-0.2,-0.6000000000000001
3,513.39636,247.59482,0.31615922,1.8578746,0.0,2,-0.2,-0.8
4,513.6991,249.456,0.30273518,2.3611712,0.0,2,-0.2,-1.0
5,513.98834,251.82036,0.28926608,2.864357,0.0,4,0,-1.0
6,514.2641,254.68776,0.27573255,2.867404,0.0,1,-0.2,-1.2
7,514.5262,257.55804,-0.23788202,2.8702831,0.0,2,-0.2,-1.4
8,514.2746,260.43103,-0.2515729,3.3729918,0.0,2,-0.2,-1.5999999999999999
9,514.0092,263.80658,-0.26539645,3.8755445,0.0,2,-0.2,-1.7999999999999998
10,513.72986,267.68448,-0.27936554,4.377907,0.0,3,-0.2,-1.9999999999999998
11,513.43634,272.0645,-0.29348925,3.8800426,0.0,0,-0.2,-2.1999999999999997
12,513.1286,275.94644,0.1922283,3.8819118,0.0,4,0,-2.1999999999999997
13,513.3064,279.83,0.17781126,3.883539,0.0,4,0,-2.1999999999999997
14,513.4697,283.71487,0.16333696,3.8849075,0.0,2,-0.2,-2.4
15,513.6186,287.6009,0.14881748,4.3860154,0.0,2,-0.2,-2.6
16,513.7528,291.98776,0.13426505,4.88686,0.0,0,-0.2,-2.8000000000000003
17,513.8725,296.87515,0.6196881,4.8874063,0.0,1,-0.2,-3.0000000000000004
18,514.4776,301.7628,0.10510147,4.8876195,0.0,2,-0.2,-3.2000000000000006
19,514.56824,306.6503,0.090593845,5.3875003,0.0,2,-0.2,-3.400000000000001
20,514.64435,312.03732,0.07611786,5.8870516,0.0,2,-0.2,-3.600000000000001
21,514.70605,317.92358,0.061699357,6.386243,0.0,1,-0.2,-3.800000000000001
22,514.7534,324.30862,-0.45262885,6.385047,0.0,4,0,-3.800000000000001
23,514.28656,330.69208,-0.46682698,6.3834395,0.0,2,-0.2,-4.000000000000001
24,513.80566,337.0735,-0.4809259,6.88142,0.0,2,-0.2,-4.200000000000001
25,513.3107,343.95248,-0.49489173,7.3789988,0.0,4,0,-4.200000000000001
26,512.80206,351.32864,-0.50867313,7.376159,0.0,3,-0.2,-4.400000000000001
27,512.27985,358.70154,-0.522213,6.8728933,0.0,2,-0.2,-4.600000000000001
28,511.7444,365.57077,-0.53547424,7.369226,0.0,4,0,-4.600000000000001
29,511.19595,372.93597,-0.5484498,7.365208,0.0,2,-0.2,-4.800000000000002
30,510.63486,380.2968,-0.56108654,7.8608437,0.0,2,-0.2,-5.000000000000002
31,510.0615,388.15298,-0.57335955,8.356165,0.0,2,-0.2,-5.200000000000002
32,509.4763,396.50418,-0.5852183,8.851189,0.0,3,-0.2,-5.400000000000002
33,508.87967,405.3501,-0.59661436,8.345939,0.0,2,-0.2,-5.600000000000002
34,508.27216,413.69055,-0.6075029,8.840446,0.0,2,-0.2,-5.8000000000000025
35,507.65427,422.52533,-0.6179079,9.334767,0.0,3,-0.2,-6.000000000000003
36,507.02646,431.85425,-0.627796,8.828933,0.0,2,-0.2,-6.200000000000003
37,506.3893,440.67725,-0.6371402,9.322981,0.0,2,-0.2,-6.400000000000003
38,505.74335,449.9942,-0.64598024,9.816956,0.0,2,-0.2,-6.600000000000003
39,505.08905,459.80508,-0.65429944,10.310891,0.0,3,-0.2,-6.800000000000003
40,504.42694,470.1099,-0.66208756,9.804822,0.0,3,-0.2,-7.0000000000000036
41,503.7576,479.9087,-0.66934127,9.298786,0.0,2,-0.2,-7.200000000000004
42,503.0815,489.2015,-0.67611283,9.792808,0.0,2,-0.2,-7.400000000000004
43,502.39905,498.9884,-0.6824516,10.286901,0.0,4,0,-7.400000000000004
44,501.7107,509.2695,-0.6883593,10.281094,0.0,2,-0.2,-7.600000000000004
45,501.01685,519.5449,-0.69384205,10.775406,0.0,2,-0.2,-7.800000000000004
46,500.3179,530.31476,-0.69892865,11.26985,0.0,0,-0.2,-8.000000000000004
47,499.6143,541.5792,-0.20362972,11.264445,0.0,2,-0.2,-8.200000000000003
48,499.40634,552.8384,-0.20795871,11.759206,0.0,2,-0.2,-8.400000000000002
49,499.1944,564.5925,-0.21194471,12.254152,0.0,2,-0.2,-8.600000000000001
50,498.9788,576.84186,-0.21560441,12.74929,0.0,2,-0.2,-8.8
51,498.75983,589.5865,-0.2189557,13.244628,0.0,2,-0.2,-9.0
52,498.5378,602.82666,-0.22201724,13.740168,0.0,0,-0.2,-9.2
53,498.313,616.56256,0.2751919,13.73591,0.0,2,-0.2,-9.399999999999999
54,498.58566,630.29443,0.27265263,14.231857,0.0,2,-0.2,-9.599999999999998
55,498.856,644.5224,0.27033722,14.728006,0.0,2,-0.2,-9.799999999999997
56,499.1242,659.24677,0.26822874,15.224353,0.0,2,-0.2,-9.999999999999996
57,499.39053,674.46765,0.26631084,15.720893,0.0,2,-0.2,-10.199999999999996
58,499.6551,690.1853,0.264568,16.217619,0.0,2,-0.2,-10.399999999999995
59,499.9181,706.3998,0.26298538,16.714527,0.0,4,0,-10.399999999999995
60,500.17963,723.1114,0.26154917,16.711607,0.0,0,-0.2,-10.599999999999994
61,500.43988,739.82025,0.7602464,16.708853,0.0,2,-0.2,-10.799999999999994
62,501.19894,756.5265,0.75906163,17.206253,0.0,2,-0.2,-10.999999999999993
63,501.9569,773.73035,0.75798017,17.7038,0.0,2,-0.2,-11.199999999999992
64,502.7139,791.4318,0.7569933,18.201485,0.0,3,-10,-21.199999999999992
