step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,212.48392,375.67892,-1.2434388,-1.465329,0.0,4,0,0
1,211.2782,374.18097,-1.2057252,-1.4979416,0.0,1,-0.2,-0.2
2,210.11075,372.65103,-1.6674405,-1.5299517,0.0,0,-0.2,-0.4
3,208.48218,371.08966,-1.1285819,-1.5613583,0.0,4,0,-0.4
4,207.39284,369.4978,-1.0893326,-1.5918467,0.0,1,-0.2,-0.6000000000000001
5,206.34332,367.8761,-1.5495127,-1.6217297,0.0,1,-0.2,-0.8
6,204.83421,366.22507,-2.0091183,-1.6510049,0.0,1,-0.2,-1.0
7,202.86584,364.54572,-2.468364,-1.6793655,0.0,1,-0.2,-1.2
8,200.43835,362.8392,-2.9274933,-1.7065241,0.0,1,-0.2,-1.4
9,197.55157,361.10696,-3.386775,-1.7322239,0.0,2,-0.2,-1.5999999999999999
10,194.20508,359.3507,-3.3464925,-1.2562509,0.0,0,-0.2,-1.7999999999999998
11,190.89815,358.07227,-2.8069353,-1.2784424,0.0,0,-0.2,-1.9999999999999998
12,188.12978,356.77332,-2.2683663,-1.2989718,0.0,3,-0.2,-2.1999999999999997
13,185.89923,355.45514,-2.2305493,-1.8181636,0.0,4,0,-2.1999999999999997
14,183.70598,353.61884,-2.1932511,-1.8362913,0.0,0,-0.2,-2.4
15,181.54968,351.7655,-1.6562918,-1.8533318,0.0,0,-0.2,-2.6
16,179.93,349.89618,-1.1196927,-1.8693265,0.0,1,-0.2,-2.8000000000000003
17,178.84676,348.01172,-1.5832374,-1.8844758,0.0,4,0,-2.8000000000000003
18,177.30005,346.11276,-1.5467024,-1.8989543,0.0,3,-0.2,-3.0000000000000004
19,175.78972,344.20013,-1.5103401,-2.4126198,0.0,1,-0.2,-3.2000000000000006
20,174.31555,341.77466,-1.9741644,-2.425493,0.0,1,-0.2,-3.400000000000001
21,172.37749,339.33716,-2.4380584,-2.4374938,0.0,0,-0.2,-3.600000000000001
22,169.9752,336.88864,-1.9022962,-2.4485168,0.0,4,0,-3.600000000000001
23,168.10805,334.43015,-1.8671464,-2.458489,0.0,0,-0.2,-3.800000000000001
24,166.27567,331.9626,-1.332391,-2.4675617,0.0,0,-0.2,-4.000000000000001
25,164.97762,329.48682,-0.7980518,-2.4757695,0.0,3,-0.2,-4.200000000000001
26,164.2137,327.0036,-0.76391345,-2.9832246,0.0,2,-0.2,-4.400000000000001
27,163.48393,324.01358,-0.7297607,-2.4900167,0.0,4,0,-4.400000000000001
28,162.78839,321.51755,-0.6955482,-2.4960346,0.0,0,-0.2,-4.600000000000001
29,162.12701,319.01614,-0.16136627,-2.5013952,0.0,4,0,-4.600000000000001
30,161.99979,316.51004,-0.12723364,-2.5061028,0.0,3,-0.2,-4.800000000000002
31,161.90686,313.99985,-0.092926316,-3.0102074,0.0,0,-0.2,-5.000000000000002
32,161.8484,310.98615,0.44154033,-3.0137014,0.0,4,0,-5.000000000000002
33,162.32458,307.96967,0.47618097,-3.0164561,0.0,4,0,-5.000000000000002
34,162.8358,304.9512,0.5112168,-3.0184844,0.0,1,-0.2,-5.200000000000002
35,163.38242,301.93143,0.046622608,-3.0197625,0.0,1,-0.2,-5.400000000000002
36,163.4648,298.91116,-0.41762862,-3.0202677,0.0,2,-0.1817169462422828,-5.581716946242285
37,163.08296,295.89117,-0.3818294,-2.5199823,0.018283054,4,0.034057004897301235,-5.547659941344984
38,162.7367,293.37225,-0.3462742,-2.5189154,0.034057006,0,-0.15016285344364672,-5.69782279478863
39,162.42572,290.85504,0.1890261,-2.517211,0.049837146,3,-0.13354635249443586,-5.831369147283066
40,162.64977,288.34018,0.22405753,-3.0148823,0.06645365,0,-0.11367180402327653,-5.945040951306343
41,162.90883,285.32825,0.7590575,-3.011911,0.08632819,3,-0.09293069586858166,-6.037971647174924
42,163.7028,282.3201,0.79396886,-3.5081747,0.107069306,1,-0.06893406606491687,-6.106905713239841
43,164.5318,278.81647,0.32900855,-3.5036294,0.13106593,1,-0.04576132505828284,-6.152667038298124
44,164.89589,275.3183,-0.1359169,-3.4981449,0.15423867,0,-0.023457604327754178,-6.1761246426258785
45,164.79478,271.82654,0.39889124,-3.4917858,0.1765424,1,-0.0002945925092954771,-6.176419235135174
46,165.22792,268.3419,-0.06685341,-3.484648,0.1997054,4,0.2219515236751206,-5.954467711460053
47,165.19498,264.8652,-0.032952167,-3.4766843,0.22195153,4,0.24414913379624503,-5.7103185776638075
48,165.1953,261.3972,0.0003274201,-3.4680107,0.24414913,3,0.06629376233756173,-5.644024815326246
49,165.22826,257.9385,0.032960035,-3.9586658,0.26629376,3,0.09155948614479131,-5.552465329181454
50,165.29318,253.98982,0.06492378,-4.4486904,0.2915595,2,0.11990849141804966,-5.432556837763404
