step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,383.31467,396.78653,-1.3958286,1.1821232,0.0,4,0,0
1,381.89212,397.93765,-1.4225271,1.1511077,0.0,4,0,0
2,380.44333,399.05734,-1.4487959,1.1196918,0.0,3,-0.2,-0.2
3,378.9687,400.1452,-1.4746348,0.58787405,0.0,4,0,-0.2
4,377.46866,400.70087,-1.5000429,0.5556523,0.0,1,-0.2,-0.4
5,375.94342,401.22375,-2.025254,0.5228806,0.0,4,0,-0.4
6,373.89313,401.7133,-2.0502667,0.4895417,0.0,4,0,-0.4
7,371.81805,402.16867,-2.0750856,0.45537856,0.0,4,0,-0.4
8,369.71835,402.58902,-2.0996954,0.42036864,0.0,0,-0.2,-0.6000000000000001
9,367.59427,402.9735,-1.6240791,0.38448864,0.0,0,-0.2,-0.8
10,365.94608,403.32123,-1.1482185,0.34771448,0.0,4,0,-0.8
11,364.77396,403.6315,-1.172119,0.3102682,0.0,2,-0.2,-1.0
12,363.57812,403.90387,-1.195805,0.7723732,0.0,3,-0.2,-1.2
13,362.35886,404.63788,-1.2192819,0.23400563,0.0,2,-0.2,-1.4
14,361.11655,404.83325,-1.2423097,0.69536513,0.0,0,-0.2,-1.5999999999999999
15,359.8514,405.48947,-0.76513773,0.6562081,0.0,3,-0.2,-1.7999999999999998
16,359.06387,406.1062,-0.78752756,0.11674555,0.0,2,-0.2,-1.9999999999999998
17,358.25433,406.1834,-0.80954,0.577201,0.0,1,-0.2,-2.1999999999999997
18,357.4229,406.7207,-1.3314254,0.5373092,0.0,4,0,-2.1999999999999997
19,356.06995,407.21802,-1.3529583,0.4972902,0.0,3,-0.2,-2.4
20,354.69586,407.6749,-1.3740855,-0.04310978,0.0,1,-0.2,-2.6
21,353.30106,407.59097,-1.8948097,-0.0839075,0.0,4,0,-2.6
22,351.3857,407.4656,-1.9153608,-0.12539105,0.0,2,-0.2,-2.8000000000000003
23,349.45004,407.29776,-1.9356519,0.33217335,0.0,3,-0.2,-3.0000000000000004
24,347.4944,407.58652,-1.9556657,-0.21125315,0.0,3,-0.2,-3.2000000000000006
25,345.51923,407.33112,-1.9751545,-0.75540024,0.0,0,-0.2,-3.400000000000001
26,343.5249,406.53052,-1.494327,-0.8006073,0.0,0,-0.2,-3.600000000000001
27,342.0115,405.68326,-1.0133883,-0.8472615,0.0,1,-0.2,-3.800000000000001
28,340.97906,404.78802,-1.5324507,-0.8952145,0.0,1,-0.2,-4.000000000000001
29,339.4274,403.84372,-2.0516517,-0.94431376,0.0,0,-0.2,-4.200000000000001
30,337.35657,402.84885,-1.5708532,-0.9948864,0.0,1,-0.2,-4.400000000000001
31,335.76666,401.80154,-2.0898836,-1.04728,0.0,4,0,-4.400000000000001
32,333.65778,400.7002,-2.1088853,-1.1013644,0.0,4,0,-4.400000000000001
33,331.53012,399.54266,-2.127653,-1.1575148,0.0,2,-0.2,-4.600000000000001
34,329.384,398.3268,-2.146138,-0.71587294,0.0,3,-0.2,-4.800000000000002
35,327.21973,397.5502,-2.1642838,-1.2765936,0.0,0,-0.2,-5.000000000000002
36,325.03793,396.21094,-1.6817725,-1.3392701,0.0,2,-0.2,-5.200000000000002
37,323.33917,394.8063,-1.69878,-0.9046232,0.0,1,-0.2,-5.400000000000002
38,321.62366,393.8337,-2.2155159,-0.97260624,0.0,3,-0.2,-5.600000000000002
39,319.39197,392.79095,-2.23168,-1.5427483,0.0,3,-0.2,-5.8000000000000025
40,317.14508,391.1755,-2.2468734,-2.1154501,0.0,1,-0.2,-6.000000000000003
41,314.88388,388.98386,-2.7612042,-2.19166,0.0,4,0,-6.000000000000003
42,312.10916,386.7113,-2.7747316,-2.2725334,0.0,2,-0.2,-6.200000000000003
43,309.3224,384.35254,-2.786774,-1.858766,0.0,3,-0.2,-6.400000000000003
44,306.52542,382.40167,-2.7969534,-2.4508743,0.0,1,-0.2,-6.600000000000003
45,303.72076,379.85342,-3.3046649,-2.548252,0.0,0,-0.2,-6.800000000000003
46,300.41122,377.20084,-2.809526,-2.652581,0.0,3,-0.2,-7.0000000000000036
47,297.6011,374.43628,-2.8101225,-3.2645614,0.0,2,-0.2,-7.200000000000004
48,294.79486,371.05145,-2.8062465,-2.884832,0.0,3,-0.2,-7.400000000000004
49,291.99823,368.03546,-2.7966387,-3.5159829,0.0,4,0,-7.400000000000004
50,289.2182,364.37823,-2.7800262,-3.6572316,0.0,3,-0.2,-7.600000000000004
51,286.46405,360.5665,-2.7541525,-4.3117237,0.0,0,-0.2,-7.800000000000004
52,283.74768,356.08566,-2.2163565,-4.4808407,0.0,2,-0.2,-8.000000000000004
53,281.58582,351.4168,-2.1618764,-4.168848,0.0,4,0,-8.000000000000004
54,279.4994,347.03732,-2.0864322,-4.379507,0.0,1,-0.2,-8.200000000000003
55,277.51425,342.4254,-2.4851463,-4.6119003,0.0,4,0,-8.200000000000003
56,275.16467,337.55774,-2.3495784,-4.867686,0.0,2,-0.2,-8.400000000000002
57,272.99667,332.41544,-2.1679964,-4.642287,0.0,0,-0.2,-8.600000000000001
58,271.06866,327.48505,-1.4279952,-4.93039,0.0,1,-0.2,-8.8
59,269.94455,322.266,-1.6241348,-5.2190604,0.0,1,-0.2,-9.0
60,268.7037,316.76297,-1.7408229,-5.5030293,0.0,2,-0.2,-9.2
61,267.42966,311.00992,-1.274049,-5.253043,0.0,2,-0.2,-9.399999999999999
62,266.69052,305.57605,-0.73914534,-4.9338593,0.0,1,-0.2,-9.599999999999998
63,266.5285,300.5456,-0.6620279,-5.03047,0.0,0,-0.2,-9.799999999999997
64,266.46198,295.5054,0.43347076,-5.0401764,0.0,3,-0.2,-9.999999999999996
65,267.47318,290.54266,1.0112116,-5.462751,0.0,4,0,-9.999999999999996
66,269.04294,285.2423,1.5697507,-5.300353,0.0,4,0,-9.999999999999996
67,271.1249,280.18616,2.0819998,-5.056156,0.0,1,-0.16674664657260257,-10.1667466465726
68,273.65567,275.43793,2.0307467,-4.7482295,0.033253353,3,-0.13334974297970353,-10.300096389552303
69,276.0627,271.04053,2.4070354,-4.8973975,0.06665026,0,-0.09814714276479991,-10.398243532317103
70,278.77097,266.50754,3.2082605,-4.532974,0.10185286,0,-0.06252342079388923,-10.460766953110992
71,282.20645,262.3331,3.9354997,-4.1744647,0.13747658,1,-0.026731985841089323,-10.487498938952081
72,286.30624,258.50638,3.5997722,-3.8267183,0.17326802,1,0.005713295585546174,-10.481785643366536
73,290.01556,255.01161,3.2093282,-3.4947515,0.2057133,3,0.034857201776864855,-10.446928441589671
74,293.293,251.82368,3.2774217,-3.6879323,0.2348572,3,0.0653151381718105,-10.381613303417861
75,296.6093,248.41516,3.3163197,-3.9085288,0.26531515,3,0.09720179171483073,-10.28441151170303
76,299.94202,244.75583,3.3327,-4.1593266,0.29720178,4,0.3306619708641456,-9.953749540838885
77,303.27493,240.81519,3.3329296,-3.9406357,0.33066198,2,0.1628509145045351,-9.79089862633435
78,306.59738,237.06422,3.3224344,-3.2509685,0.3628509,4,0.3908264971935099,-9.40007212914084
79,309.90244,233.97902,3.305058,-3.0852046,0.3908265,4,0.4176208071078067,-8.982451322033032
80,313.18527,231.04192,3.282845,-2.937107,0.4176208,0,0.2432700852188962,-8.739181236814137
81,316.4427,228.23781,3.7574148,-2.80411,0.4432701,1,0.2689697819075037,-8.470211454906632
82,320.1726,225.55373,3.2299132,-2.6840827,0.4689698,2,0.2923077380607913,-8.17790371684584
83,323.37317,222.97792,3.200572,-2.0757995,0.49230775,0,0.311347544114366,-7.866556172731475
84,326.54382,221.0007,3.670657,-1.9772197,0.51134753,3,0.33004912457275576,-7.536507048158719
85,330.18387,219.11458,3.6400502,-2.3861287,0.53004915,1,0.3505404861730283,-7.1859665619856905
86,333.79263,216.81233,3.1087437,-2.3022344,0.5505405,1,0.3690170039206801,-6.81694955806501
87,336.8702,214.5868,2.577587,-2.2255356,0.569017,2,0.3858295695462452,-6.431119988518765
88,339.41724,212.43207,2.547024,-1.6547341,0.58582956,1,0.3983346907469198,-6.032785297771846
89,341.93454,210.84334,2.0173168,-1.5887375,0.59833467,0,0.4095904089768185,-5.623194888795028
90,343.9226,209.3168,2.4880536,-1.5265214,0.6095904,4,0.6201483211082282,-5.003046567686799
91,346.382,207.84946,2.459397,-1.4673567,0.6201483,2,0.42965127592454383,-4.573395291762256
92,348.8132,206.43811,2.4312031,-0.91134155,0.62965125,3,0.43476224616528486,-4.138633045596971
93,351.21667,205.57991,2.4034817,-1.358207,0.6347622,3,0.44213975145306533,-3.696493294143906
94,353.5926,204.27254,2.3759012,-1.8073611,0.64213973,0,0.45174380488093874,-3.244749489262967
95,355.9414,202.51357,2.8488123,-1.7589748,0.6517438,4,0.6595363098631064,-2.5852131793998607
96,358.76392,200.80042,2.8225172,-1.7131515,0.6595363,4,0.6658266965038956,-1.9193864828959653
