x,y
57.761795,251.41603
58.034946,250.12971
58.31881,248.84561
58.61337,248.06378
58.918636,247.28424
59.734608,246.50705
60.06133,245.73225
60.39881,245.45988
60.24707,245.18997
60.606087,244.92252
61.47588,244.65755
61.856518,244.39508
62.248024,244.13516
63.150425,243.8778
64.56378,243.62303
65.98822,243.37093
67.92384,243.12152
69.87083,243.3749
71.829346,244.13112
73.799614,245.39021
76.28186,246.65219
79.27638,247.91711
82.28353,249.685
85.30371,250.9559
87.8373,252.22987
90.38466,254.00694
92.446175,255.78712
94.02219,257.57037
95.612976,259.8567
97.718864,262.14597
99.84024,264.93814
101.97754,268.2331
104.13122,272.03067
106.30177,275.33066
108.9897,278.63287
111.69558,282.4371
114.42004,286.74304
117.163734,291.55038
119.42732,296.3586
121.71137,301.66727
124.01642,307.47574
126.34296,312.7833
129.19144,318.0892
132.06242,323.89276
134.95638,330.19305
137.87366,336.98907
140.81445,344.2797
143.77881,352.0638
146.76653,359.84012
149.7772,368.10745
152.81023,376.36465
155.8648,385.1107
158.93988,394.34464
162.03423,404.06564
165.14642,414.27322
168.2749,423.967
171.41824,434.1468
174.07497,444.31262
176.74365,454.96475
179.92293,465.60355
183.11156,476.72943
186.30841,488.34293
190.01237,499.9446
193.72252,512.03503
197.43797,524.6149
201.15799,537.6848
204.38187,550.74536
207.60904,564.2973
210.83904,577.8412
214.07141,591.8776
217.30583,606.40717
220.54198,621.43024
223.77959,636.94745
227.01842,652.4592
229.7583,667.96594
232.49908,683.96796
234.74062,699.96564
236.9828,716.45935
238.72557,732.94934
240.46881,749.93585
241.71248,766.9192
242.95651,784.3995
