step,action
0,3
1,2
2,2
3,4
4,0
5,2
6,0
7,1
8,1
9,3
10,0
11,1
12,4
13,1
14,4
15,4
16,3
17,0
18,0
19,4
20,0
21,4
22,4
23,4
24,4
25,3
26,3
27,0
28,4
29,4
30,3
31,4
32,4
33,1
34,4
35,4
36,0
37,0
38,3
39,1
40,3
41,0
42,4
43,0
44,1
45,4
46,1
47,4
48,0
49,2
50,3
51,2
52,0
53,1
54,4
55,3
56,1
57,2
58,2
59,1
60,2
61,0
62,4
63,2
64,3
65,0
66,4
67,2
68,3
69,4
70,3
71,1
72,0
73,3
74,4
75,0
76,2
77,3
78,4
79,4
80,3
81,3
82,2
83,2
84,3
85,0
86,4
87,3
88,3
89,2
90,2
91,1
92,2
93,2
94,2
95,3
96,1
97,2
98,2
99,2
100,2
101,2
102,4
103,2
104,4
105,1
106,1
107,0
108,2
109,2
110,4
111,0
112,1
113,1
114,1
115,0
116,2
117,2
118,4
119,1
120,2
121,2
122,2
123,2
124,2
125,2
126,1
127,3
128,2
129,2
130,2
131,4
132,1
133,2
134,3
135,1
136,1
137,2
138,0
139,1
140,0
141,3
142,2
143,4
144,3
145,4
146,2
147,1
148,2
149,2
150,4
151,1
152,0
153,4
154,4
155,2
156,0
157,0
158,2
159,4
160,4
161,1
162,2
163,4
164,3
