x,y
196.69666,224.36005
197.8205,222.91888
199.47688,221.50224
201.16559,220.11087
202.38644,218.74547
204.1391,217.40652
206.42332,216.0948
209.23901,214.8113
212.58612,213.55725
215.46461,212.33426
218.87434,211.14368
222.81517,209.98712
227.2869,208.86662
232.28923,207.78448
237.32176,206.74347
242.38377,205.24632
247.97398,203.79555
254.09074,202.39384
260.7319,201.04405
267.8948,199.74901
275.57605,198.51132
283.77164,197.33318
292.47687,196.21605
301.68658,195.16042
311.3953,194.16547
321.5977,193.2291
332.28894,192.34785
343.46503,191.51721
355.12292,190.73193
367.26077,189.98645
379.87766,189.2752
392.9736,188.593
406.54926,187.93513
420.60565,187.29749
435.14417,186.67657
450.16623,186.06944
