x,y
61.475452,299.59482
61.49368,298.25662
62.02364,296.9185
62.56538,295.0805
63.618954,293.2428
64.184456,291.40543
64.26193,289.56848
64.851395,287.73206
64.952866,285.89627
65.56636,284.0612
66.69192,282.22696
67.82962,279.89362
68.979576,277.06137
70.64185,274.23032
72.816574,271.4007
75.00394,268.57263
77.7041,265.74637
80.917305,262.92212
84.14384,260.60013
87.384,257.78064
91.13811,254.9639
95.4065,252.15024
99.68961,249.34003
103.487885,246.53365
107.80168,243.73148
112.631454,240.934
117.977715,238.14172
122.84107,235.35526
128.22206,232.57521
134.1213,229.80234
140.53947,227.03748
147.4774,224.28165
154.43593,222.03606
161.91605,219.80202
169.91878,217.58112
178.4453,215.37529
187.4968,213.18684
