step,action
0,2
1,2
2,1
3,1
4,2
5,3
6,2
7,1
8,1
9,4
10,4
11,1
12,2
13,4
14,3
15,4
16,4
17,0
18,2
19,4
20,4
21,0
22,3
23,3
24,0
25,2
26,4
27,2
28,2
29,1
30,4
31,0
32,3
33,4
34,3
35,4
36,1
37,4
38,2
39,0
40,4
41,3
42,0
43,2
44,4
45,0
46,1
47,4
48,2
49,4
50,4
51,4
52,1
53,3
54,4
55,0
56,4
57,0
58,3
59,4
60,2
61,3
62,4
63,4
64,4
65,3
66,3
67,2
68,0
69,4
70,1
71,4
72,1
73,4
74,4
75,0
76,3
77,0
78,0
79,4
80,3
81,1
82,3
83,2
84,4
85,0
86,1
87,4
88,1
89,1
90,4
91,4
92,3
93,1
94,0
95,4
96,1
97,4
98,4
99,4
100,4
101,4
102,2
103,4
104,0
105,0
106,0
107,3
108,4
109,3
110,0
111,2
112,4
113,4
114,1
115,4
116,4
117,0
118,0
119,1
120,0
121,4
