step,action
0,0
1,4
2,2
3,0
4,4
5,4
6,4
7,4
8,1
9,2
10,4
11,4
12,3
13,3
14,4
15,1
16,0
17,4
18,3
19,1
20,2
21,4
22,2
23,3
24,1
25,3
26,3
27,4
28,0
29,2
30,2
31,2
32,4
33,0
34,4
35,4
36,4
37,4
38,0
39,2
40,2
41,4
42,2
43,4
44,4
45,4
46,1
47,0
48,4
49,0
50,2
51,0
52,2
53,4
54,3
55,0
56,3
57,3
58,4
59,4
60,4
61,0
62,1
63,1
64,4
65,0
66,1
67,2
68,1
69,0
70,4
71,2
72,0
73,1
74,1
75,1
76,3
77,3
78,0
79,0
80,0
81,4
82,4
83,3
84,0
85,3
86,2
87,3
88,2
89,0
90,2
91,0
92,3
93,0
94,0
95,0
96,3
97,0
98,0
99,1
100,0
