step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,290.1836,423.2394,-1.8518986,-0.16326037,0.0,0,-0.2,-0.2
1,288.33517,423.03262,-1.3484313,-0.20679,0.0,0,-0.2,-0.4
2,286.99084,422.78232,-0.8443066,-0.2502945,0.0,0,-0.2,-0.6000000000000001
3,286.15115,422.4885,-0.3396937,-0.2938317,0.0,0,-0.2,-0.8
4,285.8164,422.151,0.16524096,-0.33747718,0.0,0,-0.2,-1.0
5,285.98672,421.76968,0.6703316,-0.3813187,0.0,0,-0.2,-1.2
6,286.66214,421.34424,1.1754104,-0.42545086,0.0,0,-0.2,-1.4
7,287.84244,420.87427,1.6803037,-0.46996957,0.0,0,-0.2,-1.5999999999999999
8,289.52728,420.3593,2.1848295,-0.51496613,0.0,0,-0.2,-1.7999999999999998
9,291.71606,419.7988,2.6887932,-0.5605207,0.0,0,-0.2,-1.9999999999999998
10,294.40805,419.1921,3.191986,-0.6066941,0.0,0,-0.2,-2.1999999999999997
11,297.60223,418.53857,3.6941829,-0.65351903,0.0,0,-0.2,-2.4
12,301.2974,417.8376,4.195143,-0.70098895,0.0,0,-0.2,-2.6
13,305.492,417.08853,4.694614,-0.7490461,0.0,0,-0.17313794953400247,-2.7731379495340027
14,310.18433,416.291,5.192338,-0.7975687,0.026862051,0,-0.13829954487528656,-2.9114374944092893
15,315.3724,415.4446,5.688065,-0.8463592,0.061700456,0,-0.1001754098064504,-3.0116129042157396
16,321.054,414.54947,6.18157,-0.89513534,0.09982459,0,-0.05878614657301168,-3.070399050788751
17,327.22665,413.60596,6.672676,-0.94352746,0.14121385,0,-0.014154596301306499,-3.0845536470900576
18,333.88794,412.61487,7.1612782,-0.9910852,0.1858454,0,0.033694277534427164,-3.0508593695556305
19,341.0353,411.57758,7.6473727,-1.0372959,0.23369427,0,0.08473335218669392,-2.9661260173689366
20,348.66638,410.49594,8.131072,-1.0816169,0.28473336,0,0.13893284846632242,-2.827193168902614
21,356.779,409.37244,8.612618,-1.1235169,0.33893284,0,0.19625881096041647,-2.6309343579421975
22,365.37137,408.2099,9.092368,-1.1625236,0.3962588,0,0.25666950297410646,-2.374264854968091
23,374.44214,407.01166,9.570776,-1.1982667,0.4566695,0,0.3201075053329963,-2.0541573496350947
24,383.99048,405.78113,10.0483465,-1.230509,0.5201075,0,0.38648227357132886,-1.6676750760637657
25,394.01608,404.52197,10.525598,-1.2591594,0.5864823,0,0.45562874389103153,-1.2120463321727342
26,404.5191,403.2377,11.003014,-1.284267,0.65562874,0,0.5271950782382602,-0.684851253934474
27,415.5001,401.9317,11.481012,-1.3059988,0.7271951,0,0.6002686640148724,-0.08458258991960155
28,426.96002,400.60712,11.959925,-1.3246093,0.80026865,0,0.6716725412286355,0.587089951309034
29,438.90002,399.2667,12.43999,-1.3404062,0.8716726,0,10,10.587089951309034
