step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,251.50444,437.99692,-1.6086295,-0.5772074,0.12765045,0,-0.08143118303900304,-0.08143118303900304
1,249.90616,437.39026,-1.0982866,-0.6066385,0.118568815,0,-0.08723614416935771,-0.16866732720836075
2,248.81856,436.7543,-0.58759576,-0.63595974,0.11276386,0,-0.08974632071423344,-0.2584136479225942
3,248.24194,436.08902,-0.07662351,-0.6652771,0.11025368,0,-0.08894675147830172,-0.3473603994008959
4,248.17651,435.39432,0.43456843,-0.6947045,0.11105325,0,-0.08482507960430247,-0.4321854790051984
5,248.62244,434.66995,0.9459203,-0.7243623,0.11517492,0,-0.07737115947340595,-0.5095566384786043
6,249.5798,433.9156,1.4573714,-0.7543776,0.12262884,0,-0.06657678421032115,-0.5761334226889254
7,251.04866,433.1307,1.9688569,-0.7848833,0.13342321,0,-0.052435516403096905,-0.6285689390920224
8,253.02896,432.3147,2.480305,-0.8160177,0.14756449,0,-0.03494261302736784,-0.6635115521193902
9,255.5206,431.46677,2.9916313,-0.8479234,0.16505739,0,-0.014095042855755857,-0.677606594975146
10,258.52332,430.58603,3.502736,-0.8807458,0.18590495,0,0.010108398270688823,-0.6674981967044571
11,262.03683,429.6714,4.0134983,-0.91463023,0.2101084,0,0.03766686107141409,-0.6298313356330429
12,266.0606,428.72168,4.523771,-0.9497171,0.23766686,0,0.06857708211980601,-0.561254253513237
13,270.59396,427.73553,5.033373,-0.9861353,0.26857707,0,0.10283285095719502,-0.45842140255604197
14,275.63605,426.71155,5.542088,-1.0239918,0.30283284,0,0.1404242428821864,-0.31799715967385556
15,281.18573,425.6482,6.049657,-1.0633578,0.34042424,0,0.18133651008443114,-0.13666064958942442
16,287.2415,424.54395,6.5557804,-1.1042507,0.3813365,0,0.2255484320463927,0.08888778245696827
17,293.8016,423.3973,7.0601196,-1.146611,0.42554843,0,0.27302972666167685,0.3619175091186451
18,300.86392,422.20703,7.562313,-1.1902777,0.47302973,0,0.32373666331515644,0.6856541724338016
19,308.42593,420.97208,8.061997,-1.2349646,0.52373666,0,0.37760388780883575,1.0632580602426374
20,316.48477,419.69183,8.558844,-1.280242,0.5776039,0,0.43452745152458044,1.4977855117672179
21,325.03738,418.3663,9.052606,-1.3255353,0.63452744,0,0.494325029780136,1.992110541547354
22,334.08054,416.99615,9.543169,-1.3701454,0.69432503,0,0.5566278542447551,2.548738395792109
23,343.61115,415.58286,10.0306,-1.4132978,0.75662786,0,0.6205221159829519,3.169260511775061
24,353.6263,414.12863,10.515161,-1.4542154,0.8205221,0,0.6829530929349361,3.852213604709997
25,364.12363,412.63644,10.997311,-1.4922043,0.8829531,0,10,13.852213604709997
