x,y
215.7272,424.6464
214.35373,423.6694
213.49704,422.66815
213.15742,421.6427
213.33517,420.59296
214.0306,419.51862
215.24397,418.41928
216.9757,417.29434
219.22607,416.14304
221.99548,414.96436
225.28433,413.75705
229.09294,412.51962
233.42168,411.25027
238.2708,409.94687
243.64047,408.60684
249.53069,407.22726
255.94113,405.8047
262.87112,404.3352
270.31934,402.81442
278.28372,401.23767
286.76117,399.60007
295.7473,397.8969
305.2365,396.1243
315.22174,394.2798
325.69534,392.363
336.64948,390.37628
348.07724,388.32452
359.97345,386.2148
372.33508,384.05542
385.16135,381.8549
398.4531,379.62122
412.2125,377.36136
426.4423,375.08112
441.14557,372.7851
