step,action
0,3
1,2
2,3
3,4
4,4
5,3
6,2
7,0
8,0
9,4
10,1
11,2
12,4
13,3
14,3
15,2
16,3
17,4
18,3
19,2
20,2
21,2
22,2
23,0
24,4
25,4
26,0
27,4
28,1
29,0
30,4
31,4
32,4
33,2
34,4
35,4
36,0
37,1
38,4
39,4
40,0
41,1
42,4
43,1
44,4
45,4
46,2
47,2
48,4
49,3
50,1
51,4
52,2
53,4
54,2
55,2
56,4
57,4
58,3
59,2
60,3
61,4
62,4
63,4
64,3
65,0
66,1
67,0
68,2
69,2
70,2
71,2
72,4
73,4
74,3
75,3
76,1
77,0
78,4
79,1
80,2
81,1
82,3
83,1
84,2
85,4
86,4
87,4
88,1
89,0
90,1
91,4
92,2
93,3
94,4
95,0
96,1
97,4
98,4
99,4
100,3
101,4
102,2
103,0
104,4
105,1
106,4
107,4
108,4
109,0
110,0
