step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,267.83505,430.22412,-1.7294016,-0.44089878,0.6647289,2,0.47540156100965,0.47540156100965
1,266.11453,429.7472,-1.7205068,0.02308951,0.67540157,1,0.48656493675225226,0.9619664977619022
2,264.4034,429.73438,-2.2111282,-0.012821294,0.6865649,1,0.5008543071601756,1.4628208049220779
3,262.20206,429.686,-2.7013702,-0.04838517,0.7008543,1,0.5182313475054552,1.981052152427533
4,259.51093,429.6025,-3.1911354,-0.08350118,0.7182313,1,0.5386353443425227,2.5196874967700555
5,256.33057,429.48444,-3.68034,-0.11805624,0.73863536,1,0.5619681555529621,3.0816556523230174
6,252.66165,429.33252,-4.1689177,-0.15192448,0.76196814,1,0.5880635752672279,3.669719227590245
7,248.50484,429.14755,-4.656823,-0.18496796,0.7880636,1,0.6166198021607194,4.286339029750964
8,243.8608,428.9305,-5.1440353,-0.21703911,0.8166198,0,0.6470349180418773,4.933373947792841
9,238.73024,428.68253,-4.630561,-0.24798448,0.84703493,1,0.6725231109513261,5.605897058744167
10,234.1138,428.40488,-5.116436,-0.27765036,0.8725231,4,0.8972296718891606,6.503126730633328
11,229.012,428.09872,-5.1018076,-0.30615985,0.8972297,1,10,16.503126730633326
