step,action
0,0
1,2
2,3
3,4
4,4
5,4
6,4
7,4
8,0
9,4
10,4
11,0
12,3
13,3
14,4
15,4
16,4
17,1
18,1
19,0
20,2
21,4
22,4
23,4
24,0
25,0
26,1
27,2
28,4
29,3
30,4
31,2
32,4
33,4
34,0
35,1
36,4
37,4
38,1
39,4
40,4
41,1
42,3
43,2
44,4
45,4
46,4
47,1
48,1
49,4
50,2
51,4
52,4
53,4
54,4
55,2
56,3
57,2
58,3
59,1
60,4
61,2
62,3
63,3
64,1
65,4
66,1
67,0
68,0
69,0
70,4
71,4
72,4
73,1
74,4
75,1
76,4
77,4
78,3
79,4
80,4
81,1
82,4
83,4
84,4
85,2
86,4
87,3
88,4
89,3
90,3
91,4
92,1
93,4
94,4
95,2
96,0
97,3
98,4
99,3
100,2
101,0
102,4
103,3
104,4
105,0
106,4
107,3
108,4
109,3
110,1
111,4
112,2
113,1
114,3
115,0
116,4
117,0
118,4
119,1
120,4
121,2
122,4
123,3
124,4
125,0
126,4
127,4
128,2
129,0
130,4
131,4
132,3
133,1
134,4
135,0
136,4
137,4
138,4
139,4
140,3
141,4
142,1
143,4
144,4
145,0
146,4
147,4
148,3
149,4
150,4
151,1
152,1
153,1
154,0
155,4
156,2
