x,y
352.3402,211.66914
354.05145,212.78317
355.2293,213.9511
355.8727,215.17273
355.9805,216.4484
355.55157,217.77887
354.5847,219.16553
353.07855,220.61032
351.03174,222.11595
348.44272,223.68596
345.30994,225.32494
341.63177,227.03871
337.40674,228.83464
332.63364,230.72197
327.31207,232.71225
321.4429,234.8198
315.02942,237.062
308.07892,239.45926
300.60474,242.03384
292.6285,244.80704
284.18076,247.7936
275.29807,250.9948
266.0151,254.3939
256.35544,257.95844
246.32666,261.64908
235.92268,265.42886
225.1295,269.26843
213.93059,273.1467
202.31006,277.04944
