x,y
354.66772,150.60988
356.19434,151.20671
357.2116,151.82823
357.7194,152.47443
357.71747,153.1454
357.20572,153.84132
356.1841,154.56245
354.65262,155.30922
352.61127,156.08208
350.06015,156.88162
346.99942,157.70859
343.4294,158.56377
339.35043,159.44809
334.763,160.3626
329.6678,161.30836
324.06564,162.28659
317.9576,163.29845
311.345,164.34512
304.2294,165.42767
296.61264,166.54704
288.49686,167.70384
279.8843,168.89835
270.77753,170.13036
261.17902,171.39911
251.0912,172.70328
240.51625,174.04094
229.456,175.4097
217.91177,176.80681
