step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,238.9914,425.66415,-1.5678412,-0.774846,0.0,3,-0.2,-0.2
1,237.43849,424.85855,-1.5529032,-1.305615,0.0,3,-0.2,-0.4
2,235.90092,423.52234,-1.5375732,-1.8362099,0.0,1,-0.2,-0.6000000000000001
3,234.37923,421.65555,-2.0216994,-1.8667996,0.0,3,-0.19522707065727957,-0.7952270706572797
4,232.37411,419.758,-2.0051155,-2.3975446,0.0047729295,3,-0.17624621028814985,-0.9714732809454296
5,230.38634,417.3297,-1.9877656,-2.9282696,0.02375379,3,-0.15393643567371856,-1.1254097166191481
6,228.41687,414.3706,-1.9694679,-3.4591095,0.046063565,3,-0.1282784021444779,-1.253688118763626
7,226.46686,410.88043,-1.9500171,-3.9901867,0.0717216,3,-0.09925452591902323,-1.3529426446826491
8,224.53767,406.85883,-1.9291785,-4.5216093,0.10074548,3,-0.0668488239911002,-1.4197914686737494
9,222.631,402.30536,-1.9066811,-5.053467,0.13315117,3,-0.03104687149473223,-1.4508383401684817
10,220.7488,397.21954,-1.8822113,-5.585823,0.16895314,3,0.008164099743926123,-1.4426742404245556
11,218.89339,391.60083,-1.8554062,-6.1187057,0.2081641,3,0.05079492187117768,-1.391879318553378
12,217.06754,385.44873,-1.8258485,-6.6520877,0.25079492,3,0.09685397052347638,-1.2950253480299017
13,215.27448,378.76288,-1.7930655,-7.1858654,0.29685396,3,0.14634631529559167,-1.14867903273431
14,213.51793,371.54306,-1.7565366,-7.7198234,0.34634632,3,0.19927241513718158,-0.9494066175971283
15,211.80222,363.78946,-1.715714,-8.253594,0.3992724,3,0.2556261720402028,-0.6937804455569254
16,210.13214,355.50284,-1.6700685,-8.786608,0.45562616,3,0.3153920294998727,-0.3783884160570527
17,208.51299,346.6848,-1.6191707,-9.318043,0.515392,3,0.37854044592587627,0.00015202986882356662
18,206.95016,337.338,-1.5628165,-9.8468,0.57854044,3,0.44501986927140275,0.4451718991402263
19,205.44896,327.4665,-1.5011973,-10.371525,0.6450199,3,0.5147387410039814,0.9599106401442077
20,204.01389,317.07574,-1.435083,-10.890731,0.7147387,3,0.587510280004385,1.5474209201485927
21,202.64793,306.17273,-1.3659493,-11.403029,0.7875103,3,0.6628031383299053,2.210224058478498
22,201.35199,294.76526,-1.2959489,-11.907468,0.86280316,3,10,12.210224058478499
