step,action
0,3
1,3
2,2
3,4
4,1
5,4
6,4
7,4
8,0
9,4
10,1
11,0
12,3
13,1
14,4
15,1
16,4
17,2
18,4
19,3
20,0
21,2
22,1
23,0
24,2
25,1
26,1
27,3
28,4
29,4
30,4
31,4
32,4
33,4
34,0
35,4
36,4
37,4
38,2
39,2
40,1
41,4
42,4
43,3
44,2
45,1
46,0
47,3
48,4
49,4
50,4
51,4
52,4
53,3
54,4
55,3
56,1
57,2
58,4
59,0
60,1
61,3
62,4
63,1
64,4
65,4
66,4
67,4
68,3
69,3
70,0
71,4
72,4
73,1
74,0
75,4
76,2
77,4
78,0
79,0
80,2
81,2
82,4
83,4
84,4
85,2
86,2
87,4
88,0
89,2
90,4
91,0
92,4
93,4
94,0
95,4
96,4
97,4
98,0
99,0
100,1
101,2
102,1
103,1
104,0
105,1
106,4
107,0
108,4
109,4
110,4
111,4
112,4
113,1
114,4
115,4
116,4
117,2
118,3
119,4
120,1
121,3
122,1
123,1
124,4
125,4
126,4
127,1
128,3
129,4
130,2
131,3
132,3
133,0
134,1
135,1
136,0
137,0
138,0
139,3
140,0
141,3
142,3
143,4
144,3
145,3
146,4
147,4
148,4
149,3
150,1
151,4
152,4
153,1
154,4
155,4
156,1
157,0
158,4
159,2
160,3
161,4
162,1
163,0
164,2
165,4
166,1
167,2
168,0
169,1
170,4
171,0
172,1
173,4
174,4
175,4
176,4
177,4
178,4
179,1
180,4
181,2
182,4
183,3
184,2
185,1
186,1
187,4
188,4
189,4
190,1
191,4
192,4
193,2
194,0
195,4
196,4
197,0
198,1
199,4
200,1
201,4
202,4
203,2
204,4
205,4
206,4
207,3
208,1
209,4
210,1
211,0
212,0
213,3
214,3
215,0
216,4
217,4
218,4
219,1
220,2
221,4
222,4
223,0
224,4
225,2
226,3
227,4
228,4
229,4
230,4
231,2
232,4
233,0
234,4
235,3
236,3
237,4
238,0
239,1
240,2
241,4
242,4
243,4
244,2
245,2
246,4
247,0
248,1
249,4
250,3
251,4
252,2
253,3
254,1
255,4
256,4
257,4
258,3
259,1
260,4
261,4
262,1
263,4
264,0
265,0
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,3
275,4
276,4
277,3
278,3
279,3
280,4
281,1
282,4
283,4
284,0
285,4
286,1
287,4
288,4
289,4
290,4
291,4
292,4
293,0
294,4
295,4
296,1
297,3
298,4
299,2
300,4
301,0
302,4
303,4
304,2
305,4
306,4
307,0
308,4
309,4
310,4
311,0
312,4
313,2
314,4
315,4
316,1
317,3
318,4
319,4
320,0
321,3
322,3
323,4
324,2
325,4
326,2
327,4
328,0
329,1
330,4
331,4
332,4
333,2
334,4
335,4
336,4
337,1
338,4
339,0
340,2
341,1
342,2
343,0
344,4
345,4
346,4
347,4
348,4
349,1
350,4
351,0
352,4
353,4
354,4
355,0
356,3
357,2
358,2
359,0
360,4
361,2
362,4
363,4
364,4
365,1
366,4
367,4
368,4
369,0
370,1
371,2
372,4
373,1
374,4
375,1
376,0
377,3
378,4
379,0
380,2
381,0
382,4
383,2
