step,action
0,4
1,4
2,4
3,2
4,1
5,3
6,4
7,3
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,0
18,0
19,4
20,1
21,4
22,3
23,4
24,0
25,0
26,3
27,1
28,4
29,4
30,4
31,4
32,2
33,4
34,1
35,2
36,4
37,0
38,1
39,4
40,2
41,4
42,4
43,3
44,4
45,1
46,4
47,4
48,4
49,2
50,4
51,1
52,4
53,3
54,4
55,4
56,4
57,3
58,4
59,4
60,1
61,4
62,4
63,4
64,1
65,4
66,4
67,3
68,4
69,3
70,1
71,4
72,2
73,4
74,2
75,1
76,4
77,4
78,4
79,4
80,4
81,3
82,4
83,2
84,4
85,1
86,2
87,4
88,2
89,3
90,4
91,2
92,2
93,1
94,0
95,4
96,3
97,4
98,1
99,4
100,3
101,4
102,4
103,0
104,4
105,3
106,4
107,2
108,3
109,4
110,4
111,4
112,2
113,4
114,4
115,4
116,4
117,0
118,1
119,3
120,4
121,1
122,4
123,0
124,4
125,1
126,3
127,4
128,1
129,4
130,4
131,2
132,1
133,4
134,4
135,4
136,3
137,4
138,4
139,4
140,4
141,4
142,1
143,0
144,4
145,2
146,4
147,4
148,2
149,1
150,4
151,3
