x,y
434.40067,101.99988
435.4972,102.76335
436.08713,103.53643
436.1704,104.319115
435.74698,105.11144
434.8168,105.913475
433.3798,106.72532
431.4359,107.547134
428.98508,108.37909
426.02728,109.22143
422.56247,110.07442
418.59055,110.93838
414.1115,111.8137
409.1253,112.70079
403.632,113.60017
397.63153,114.51236
391.12396,115.437996
384.10947,116.37776
376.58813,117.332405
368.56024,118.30273
360.02606,119.28961
350.9861,120.29397
341.94095,120.81673
332.89127,120.858665
323.83798,120.4204
314.782,119.5023
305.72437,118.10447
296.66608,116.22679
287.6082,113.86886
278.55154,111.03007
