step,action
0,2
1,1
2,3
3,1
4,2
5,1
6,1
7,1
8,1
9,3
10,1
11,1
12,3
13,4
14,0
15,1
16,1
17,1
18,1
19,3
20,1
21,3
22,1
23,2
24,1
25,1
26,1
27,1
28,4
29,0
30,3
31,3
32,2
33,0
34,4
35,0
36,0
37,4
38,4
39,0
40,0
41,3
42,4
43,0
44,0
45,1
46,3
47,2
48,1
49,2
50,3
51,0
52,4
53,3
54,0
55,2
56,0
57,0
58,1
59,0
60,1
61,2
62,3
63,1
64,2
65,1
66,1
67,2
68,2
69,0
70,0
71,0
72,4
73,1
74,0
75,0
76,2
77,1
78,3
79,4
80,3
81,1
82,0
83,0
84,2
85,0
86,1
87,0
88,2
89,0
90,0
91,2
92,4
93,0
94,2
95,0
96,0
97,0
98,3
99,0
100,3
101,3
102,1
103,3
104,1
105,0
106,3
107,4
108,1
109,0
110,2
111,0
112,2
113,0
114,0
115,0
116,1
117,0
118,0
119,2
120,1
121,1
122,2
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,2
131,0
132,2
133,4
134,3
135,1
136,0
137,0
138,1
139,1
140,3
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,2
151,2
152,1
153,0
154,0
155,3
156,3
157,4
158,2
159,4
160,0
161,2
162,4
163,4
164,4
165,0
166,4
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,0
175,3
176,3
177,1
