step,action
0,3
1,1
2,1
3,3
4,2
5,0
6,0
7,0
8,1
9,1
10,3
11,2
12,4
13,3
14,1
15,2
16,1
17,4
18,0
19,0
20,2
21,4
22,1
23,1
24,1
25,3
26,4
27,4
28,0
29,1
30,4
31,1
32,1
33,1
34,0
35,3
36,4
37,3
38,1
39,2
40,1
41,3
42,4
43,3
44,0
45,0
46,1
47,1
48,4
49,1
50,0
51,2
52,2
53,1
54,2
55,0
56,4
57,0
58,3
59,2
60,2
61,1
62,0
63,2
64,0
65,2
66,2
67,2
68,1
69,2
70,1
71,0
72,2
73,1
74,4
75,0
76,3
77,1
78,3
79,2
80,1
81,1
82,0
83,2
84,2
85,2
86,3
87,0
88,2
89,2
90,2
91,2
92,4
93,1
94,3
95,0
96,3
97,2
98,2
99,3
100,0
101,1
102,3
103,2
104,2
105,2
106,4
107,2
