step,x,y,x_velocity,y_velocity,target_distance,action,reward,cumulative_reward
0,167.03535,437.4719,-1.0696818,-1.0437461,0.47133037,0,0.266873193550026,0.266873193550026
1,165.97836,436.41504,-0.5569962,-1.0568616,0.4668732,0,0.2655619601597056,0.5324351537097316
2,165.43414,435.34515,-0.04420607,-1.0698802,0.46556196,2,0.26744059180540286,0.7998757455151344
3,165.40286,434.26227,-0.031287424,-0.5828737,0.4674406,1,0.26842901039824535,1.0683047559133798
4,165.38464,433.66638,-0.51821345,-0.59591514,0.468429,0,0.26628481361986284,1.3345895695332426
5,164.8796,433.05737,-0.0050532194,-0.60898256,0.4662848,0,0.26742531674569553,1.602014886278938
6,164.88777,432.4354,0.5081708,-0.6220047,0.46742532,0,0.2718693403173333,1.8738842265962714
7,165.40926,431.80032,1.0214869,-0.6350569,0.47186935,0,0.27963177348760987,2.153516000083881
8,166.44418,431.1521,1.5349249,-0.6482163,0.47963178,2,0.29072429989496923,2.4442402999788504
9,167.99269,430.49054,1.548516,-0.16156289,0.4907243,2,0.3011060761587891,2.7453463761376393
10,169.555,430.31537,1.5622928,0.3248186,0.5011061,0,0.31075036825997987,3.0560967443976192
11,171.13116,430.6263,2.0761812,0.31094402,0.51075035,3,0.323676031094093,3.379772775491712
12,173.22127,430.92313,2.0901024,-0.20316714,0.52367604,0,0.33757250485233187,3.717345280344044
13,175.32535,430.70554,2.6040814,-0.21760307,0.5375725,2,0.3547748539930459,4.07212013433709
14,177.94356,430.47314,2.6182005,0.267595,0.5547749,3,0.3711011084277795,4.443221242764869
15,180.57603,430.72546,2.6324844,-0.247674,0.5711011,4,0.5884654147678205,5.031686657532689
16,183.22289,430.46207,2.6468432,-0.26339146,0.5884654,0,0.40592259581619555,5.437609253348885
17,185.88425,430.18246,3.161363,-0.2796129,0.6059226,3,0.42662798194476553,5.8642372352936505
18,189.06029,429.88608,3.1760428,-0.7963596,0.626628,1,0.4485072968594052,6.312744532153055
19,192.25119,429.07233,2.6908991,-0.81375295,0.6485073,1,0.46736760910695246,6.780112141260008
20,194.95721,428.24045,2.2060292,-0.83187723,0.66736764,0,0.48321869249404,7.263330833754048
21,197.17863,427.3898,2.7214196,-0.8506667,0.6832187,0,0.5023578867194114,7.7656887204734595
22,199.9157,426.51974,3.237061,-0.8700455,0.7023579,0,0.5247826043367159,8.290471324810175
23,203.16867,425.62958,3.7529724,-0.89015955,0.7247826,0,0.5504761595020693,8.840947484312245
24,206.93784,424.7184,4.2691674,-0.91117084,0.7504762,3,0.5793975992753921,9.420345083587637
25,211.22348,423.78516,4.2856507,-1.4332612,0.7793976,0,0.6096436148510231,10.029988698438661
26,215.5259,422.32852,4.802414,-1.4566349,0.8096436,4,0.8431248696010346,10.873113568039695
27,220.34547,420.84705,4.8195744,-1.4814856,0.84312487,0,0.6767131718379069,11.549826739877602
28,225.18259,419.33896,5.337108,-1.5080868,0.87671316,2,10,21.549826739877602
