episode,reward,epsilon,steps,success
1,-27.19999999999997,0.7998547999999983,107,0
2,-23.123708154267675,0.7994158999999931,133,0
3,-5.347676748127527,0.7991155999999895,91,0
4,19.977859963747996,0.7990462999999887,21,1
5,-30.799999999999958,0.7986370999999838,124,0
6,-27.733388397666115,0.7980430999999767,180,0
7,-11.68963199262877,0.7976272999999717,126,0
8,-24.79999999999998,0.7973038999999679,98,0
9,-16.573015189613038,0.7969639999999638,103,0
10,-17.644711097356815,0.796558099999959,123,0
11,-24.59999999999998,0.7962742999999556,86,0
12,14.687728677245566,0.7961191999999537,47,1
13,-24.99999999999998,0.7958287999999503,88,0
14,-13.873680186195992,0.7951159999999418,216,0
15,-30.999999999999957,0.7946704999999364,135,0
16,-24.038152462375542,0.7943569999999327,95,0
17,-27.999999999999968,0.7940071999999285,106,0
18,-30.19999999999996,0.7935814999999234,129,0
19,9.818444159540947,0.7934329999999217,45,1
20,-22.035940779080704,0.7930765999999174,108,0
21,-25.999999999999975,0.7927432999999134,101,0
22,1.7714612064067303,0.7924231999999096,97,0
23,-34.599999999999945,0.7918852999999032,163,0
24,-24.879159004118364,0.7915816999998996,92,0
25,-27.19999999999997,0.7912252999998953,108,0
26,17.520797440057073,0.7910536999998933,52,1
27,-27.39999999999997,0.7906840999998889,112,0
28,-7.955605134213087,0.7901626999998826,158,0
29,-18.0394699569059,0.7898722999998792,88,0
30,-31.012351256546868,0.7894036999998736,142,0
31,-5.868774180890474,0.7891726999998708,70,0
32,-27.79999999999997,0.7888030999998664,112,0
33,-26.69111668001336,0.7884433999998621,109,0
34,-25.199999999999978,0.7881199999998583,98,0
35,-24.59999999999998,0.7878394999998549,85,0
36,-20.599999999999994,0.7876381999998525,61,0
37,-17.800000000000004,0.7874533999998503,56,0
38,-3.8467883271454397,0.7871266999998464,99,0
39,-24.59999999999998,0.7868131999998427,95,0
40,19.842443111805522,0.7867339999998417,24,1
41,-28.798107296585346,0.786337999999837,120,0
42,-27.39999999999997,0.7859914999998329,105,0
43,-23.23333139924125,0.7856812999998292,94,0
44,-29.399999999999963,0.7852720999998243,124,0
45,-9.442477744235957,0.784998199999821,83,0
46,-35.39999999999994,0.7843480999998133,197,0
47,-15.119839575192762,0.7840873999998101,79,0
48,-61.800000000000196,0.7828531999997954,374,0
49,-20.399999999999995,0.7825990999997924,77,0
50,-5.260900461245574,0.7822756999997885,98,0
51,-23.735908454500333,0.7819588999997847,96,0
52,-23.399999999999984,0.7816651999997812,89,0
53,-10.382510489576665,0.781226299999776,133,0
54,-23.999999999999982,0.7809358999997725,88,0
55,-22.799999999999986,0.7806652999997693,82,0
56,-25.524689295574824,0.7801900999997636,144,0
57,-31.999999999999954,0.7797346999997582,138,0
58,-28.599999999999966,0.7793683999997538,111,0
59,22.31989625001153,0.7792825999997528,26,1
60,-16.481297924193687,0.7788634999997478,127,0
61,-21.199999999999992,0.7786060999997447,78,0
62,-50.65768951251853,0.7776061999997328,303,0
63,-15.405043259177114,0.7764049999997185,364,0
64,1.6181113697007774,0.7748440999996998,473,0
65,-24.39999999999998,0.7745734999996966,82,0
66,-24.039729207851124,0.7740751999996907,151,0
67,18.349340617198372,0.7737517999996868,98,1
68,-60.586629700428404,0.7725373999996723,368,0
69,-20.799999999999994,0.7723063999996695,70,0
70,-28.599999999999966,0.771923599999665,116,0
71,-36.79999999999994,0.7713988999996587,159,0
72,-27.19999999999997,0.7710490999996545,106,0
73,21.36990925929561,0.7709137999996529,41,1
74,-13.221144523803327,0.7705243999996483,118,0
75,-22.19999999999999,0.7702801999996454,74,0
76,-24.79999999999998,0.7700260999996423,77,0
77,-35.39999999999994,0.7695409999996365,147,0
78,-25.999999999999975,0.7692373999996329,92,0
79,-25.199999999999978,0.768910699999629,99,0
80,-41.79999999999992,0.7682737999996214,193,0
81,18.63688393258036,0.7682077999996206,20,1
82,-12.863989947386068,0.7678348999996162,113,0
83,-19.4,0.767650099999614,56,0
84,-26.799999999999972,0.7673266999996101,98,0
85,-24.59999999999998,0.7670527999996068,83,0
86,-24.59999999999998,0.7667722999996035,85,0
87,-23.70892111405528,0.7665082999996004,80,0
88,-7.525630146893646,0.7662409999995972,81,0
89,-16.58937273230698,0.7659010999995931,103,0
90,-21.580486786328095,0.7654489999995877,137,0
91,-21.39999999999999,0.7652047999995848,74,0
92,-21.79999999999999,0.764970499999582,71,0
93,-22.29215807746202,0.7645414999995769,130,0
94,-23.399999999999984,0.7642906999995739,76,0
95,-30.59999999999996,0.7639012999995692,118,0
96,-51.40000000000005,0.7630795999995594,249,0
97,-21.79999999999999,0.7628584999995568,67,0
98,-39.342318701786155,0.7622578999995496,182,0
99,-42.59999999999992,0.7615945999995417,201,0
100,-24.79999999999998,0.7613074999995383,87,0
101,-31.799999999999955,0.7608718999995331,132,0
102,-35.99999999999994,0.760277899999526,180,0
103,-44.54401557555411,0.7595386999995172,224,0
104,-2.618819924190502,0.7592284999995135,94,0
105,-27.59999999999997,0.7588786999995093,106,0
106,-20.99193250147386,0.7586344999995064,74,0
107,-28.199999999999967,0.7582351999995016,121,0
108,20.67511213694261,0.7581592999995007,23,1
109,-35.59999999999994,0.7576180999994943,164,0
110,-42.28389696165055,0.7569316999994861,208,0
111,-24.15665080591367,0.7566214999994824,94,0
112,-23.835159698819893,0.7563112999994787,94,0
113,-26.199999999999974,0.7559680999994746,104,0
