episode,reward,epsilon,steps,success
1,-19.925131922820803,0.9995709999999949,193,0
2,-33.79999999999995,0.999075999999989,150,0
3,-42.22061480315376,0.9984192999999811,199,0
4,-46.39999999999998,0.997653699999972,232,0
5,-53.16452638057724,0.996729699999961,280,0
6,-37.99999999999993,0.9961719999999543,169,0
7,-38.45986000933591,0.9955449999999468,190,0
8,-36.19999999999994,0.9949971999999403,166,0
9,-33.85828678540152,0.9944757999999341,158,0
10,-26.016187579167593,0.9938421999999265,192,0
11,-29.135902270446877,0.993462699999922,115,0
12,-70.80000000000032,0.9922581999999076,365,0
13,-13.941357230399387,0.9919776999999043,85,0
14,-30.39999999999996,0.9915222999998988,138,0
15,-25.18068732443556,0.990948099999892,174,0
16,-69.24898898904277,0.9897237999998774,371,0
17,-42.20513542821777,0.9889449999998681,236,0
18,-51.800000000000054,0.9880605999998575,268,0
19,-46.63744932528773,0.9871068999998461,289,0
20,-19.304386274141343,0.9864897999998388,187,0
21,-27.79999999999997,0.9861333999998345,108,0
22,-28.800195002367516,0.9855822999998279,167,0
23,-29.235357178945808,0.9851895999998233,119,0
24,0.36095313725301637,0.9842028999998115,299,0
25,-37.93466223630841,0.9835296999998034,204,0
26,-23.399999999999984,0.9832524999998001,84,0
27,-49.20000000000002,0.9824373999997904,247,0
28,-29.79999999999996,0.9819786999997849,139,0
29,-21.571898777202144,0.9814209999997783,169,0
30,-63.61149806333998,0.980061399999762,412,0
31,-44.29106952415657,0.9788205999997472,376,0
32,-14.26225889793453,0.9783882999997421,131,0
33,-23.904209356368135,0.9780945999997386,89,0
34,-74.09732476079922,0.9765567999997202,466,0
35,-34.64699422512709,0.9756624999997096,271,0
36,-57.80000000000014,0.974613099999697,318,0
37,-38.399999999999935,0.9740025999996897,185,0
38,-8.4283542865378,0.973685799999686,96,0
39,-24.503459802852397,0.9728640999996762,249,0
40,-31.682846065088665,0.972260199999669,183,0
41,-40.54283396485972,0.9715704999996607,209,0
42,-27.39999999999997,0.9711843999996561,117,0
43,23.906460379300274,0.9710787999996549,32,1
44,-41.364889435127544,0.9703626999996463,217,0
45,-34.79999999999994,0.9698148999996398,166,0
46,21.659894526605097,0.9696465999996378,51,1
47,-26.99999999999997,0.9692901999996335,108,0
48,-12.083013449649634,0.9689040999996289,117,0
49,-31.599999999999955,0.9684387999996233,141,0
50,-29.79999999999996,0.9680361999996185,122,0
