
(50.01067884799967, 301.2000000000003)
(50.03203708724637, 302.39994873673305)
(50.064075435204714, 303.5997949334722)
(50.10679478356684, 304.7994872931384)
(50.16019619825275, 305.9989744913979)
(50.22428091940059, 307.19820516975193)
(50.29905036134683, 308.3971279286145)
(50.384506112596135, 309.59569132037683)
(50.48064993578092, 310.7938438424556)
(50.58748376761026, 311.991533930323)
(50.7050097188081, 313.1887099505164)
(50.83323007404048, 314.3853201936254)
(50.97214729183153, 315.58131286725313)
(51.12176400446801, 316.7766360889511)
(51.28208301789204, 317.9712378791234)
(51.45310731158179, 319.16506615389966)
(51.634840038419675, 320.3580687179728)
(51.827284524547785, 321.55019325740034)
(52.03044426921008, 322.74138733236646)
(52.24432294458096, 323.93159836990225)
(52.46892439557972, 325.12077365656205)
(52.70425263967046, 326.30886033105276)
(52.95031186664684, 327.4958053768144)
(53.207106438401254, 328.681555614549)
(53.474640888677726, 329.866057694695)
(53.75291992280799, 331.04925808984507)
(54.04194841743009, 332.23110308710454)
(54.34173142018883, 333.4115387803874)
(54.65227414941731, 334.5905110626479)
(54.97358199379887, 335.76796561804446)
(55.3056605120086, 336.943847914033)
(55.64851543233363, 338.1181031933877)
(56.00215265227128, 339.29067646614544)
(56.366578238104196, 340.46151250147125)
(56.74179842445155, 341.63055581944235)
(57.12781961379526, 342.797750682747)
(57.52464837598016, 343.9630410882957)
(57.932291447687184, 345.12637075874136)
(58.35075573187823, 346.2876831339054)
(58.78004829721167, 347.4469213621065)
(59.2201763774272, 348.604028291389)
(59.671147370698776, 349.7589464606472)
(60.13296883895421, 350.9116180906425)
(60.60564850716018, 352.06198507490967)
(61.08919426257099, 353.20998897054926)
(61.58361415393972, 354.35557098890195)
(62.08891639069011, 355.49867198610144)
(62.605109342047484, 356.63923245350253)
(63.13220153612709, 357.77719250797975)
(63.67020165897793, 358.91249188209366)
(64.21911855358033, 360.04506991411995)
(64.7789612187952, 361.17486553793805)
(65.34973880826304, 362.3018172727746)
(65.9314606292505, 363.42586321279794)
(66.5241361414423, 364.546941016559)
(67.12777495567634, 365.66498789627457)
(67.74238683261943, 366.77994060694795)
(68.36798168138124, 367.89173543532297)
(69.00456955806396, 369.00030818866634)
(69.65216066424482, 370.1055941833734)
(70.31076534538876, 371.2075282333928)
(70.98039408918841, 372.30604463846475)
(71.66105752382812, 373.40107717216785)
(72.3527664161691, 374.49255906976913)
(73.05553166985224, 375.58042301587204)
(73.76936432331527, 376.66460113185684)
(74.4942755477206, 377.74502496310777)
(75.23027664479024, 378.8216254660212)
(75.97737904454377, 379.89433299478895)
(76.73559430293557, 380.9630772879504)
(77.50493409938683, 382.0277874547078)
(78.28541023420824, 383.0883919609978)
(79.0770346259086, 384.1448186153133)
(79.87981930838473, 385.1969945542683)
(80.69377642798779, 386.24484622789953)
(81.51891824046072, 387.28829938469744)
(82.3552571077416, 388.3272790563598)
(83.20280549462721, 389.36170954226014)
(84.06157596529121, 390.39151439362365)
(84.93158117965055, 391.4166163974032)
(85.81283388957421, 392.4369375598468)
(86.7053469349273, 393.45239908974946)
(87.60913323944406, 394.4629213813799)
(88.52420580642226, 395.4684239970745)
(89.45057771423187, 396.4688256494899)
(90.38826211163008, 397.4640441835039)
(91.83727221287462, 398.45399655775776)
(93.2976608785795, 399.4385672522203)
(94.76948093973284, 400.417638630182)
(96.25278517656766, 401.3910908935597)
(97.74762629631411, 402.35880203726555)
(99.25405690978236, 403.3206478026274)
(100.77212950672273, 404.27650162984753)
(102.30189642990773, 405.2262346094884)
(103.84340984787814, 406.1697154329734)
(105.3967217262926, 407.1068103420927)
(106.9618837978179, 407.53738307750353)
(108.53898696145201, 407.9613036873094)
(110.12812355049203, 408.3784388723801)
(111.72938735711817, 408.7886518690075)
(113.34287365714444, 409.19180232645357)
(114.96867923490119, 409.587746179126)
(116.60690240820986, 409.97633551309946)
(118.25764305340478, 410.35741842668443)
(119.92100263035142, 410.73083888472667)
(121.59708420740382, 411.09643656630146)
(123.28599248623678, 411.45404670544593)
(124.9878338264805, 411.80349992454967)
(126.7027162700767, 412.14462206000144)
(128.43074956526533, 412.47723397966297)
(130.1720451901001, 412.8011513917148)
(131.92671637537973, 413.1161846443883)
(133.6948781268674, 413.4221385160682)
(135.4766472466574, 413.71881199521573)
(137.27214235353065, 414.00599804952594)
(139.0814839021233, 414.28348338369443)
(140.90479420071173, 414.55104818512774)
(142.74219742739598, 414.8084658568859)
(144.59381964443722, 415.05550273709815)
(146.45978881047893, 415.29191780404193)
(148.34023479034911, 415.5174623660181)
(150.23528936210786, 415.73187973509755)
(152.14508622096545, 415.9349048837488)
(154.0697609796544, 416.1262640832874)
(156.00945116479136, 416.305674523014)
(157.96429620871163, 416.4728439088265)
(159.93443743620065, 416.62747004000715)
(161.9200180454806, 416.26924036278973)
(163.92126674988873, 415.89781748051183)
(165.93841900063325, 415.5128495992124)
(167.97171725457332, 415.1139696722476)
(170.02141125427246, 414.7007944796105)
(172.08775832080454, 414.27292363584604)
(174.17102365977598, 413.82993851977227)
(176.2714806810027, 413.37140111845423)
(178.38941133224063, 412.89685277700937)
(180.5251064473132, 412.40581284484114)
(182.67886610890335, 411.8977772077823)
(184.8510000261735, 411.3722166943619)
(187.04182792724245, 410.82857534296176)
(189.2516799663709, 410.2662685149783)
(191.48089714547933, 409.6846808372123)
(193.72983174933043, 409.0831639545391)
(195.99884779333487, 408.4610340714166)
(198.2883214824681, 407.8175692579075)
(200.5986416791865, 407.15200649256894)
(202.9302103774765, 406.46353841070606)
(205.28344317921608, 405.75130972201043)
(207.65876976782604, 405.0144132563875)
(210.05663437267128, 404.2518855906868)
(212.47749621575855, 403.4627022019112)
(214.92182992985917, 402.6457720840988)
(217.3901259341265, 401.7999317561907)
(219.88289074940192, 400.9239385765198)
(222.4006472304803, 400.0164632657044)
(224.94393468633788, 399.076081523253)
(227.51330885132217, 398.10126460351233)
(229.60934166005083, 397.09036869302304)
(231.73261517763993, 396.0418994663532)
(233.88373856401395, 394.9542496807676)
(236.06334950920555, 393.82568689270914)
(238.27211569090093, 392.6543394097199)
(240.51073622796974, 391.4381801597144)
(242.7799430916561, 390.1750080899069)
(245.08050241929664, 388.86242662001484)
(247.41321565193945, 387.4978185631484)
(249.77892038427433, 386.07831678567663)
(252.17849076879796, 384.6007696943129)
(254.6128372501644, 383.06170040091405)
(257.0829053113556, 381.4572581039218)
(259.5896727773273, 379.7831598131811)
(262.1341450238472, 378.0346199939906)
(264.71734714798407, 376.20626496199026)
(267.3403117229132, 374.2920278432982)
(270.0040601048619, 372.2850185067373)
(272.709574256517, 370.17736090125203)
(275.4577544875372, 367.9599874244848)
(278.2493560305214, 365.6223758952982)
(281.08489334777965, 363.1522087560286)
(283.96449439178514, 360.5349252559272)
(286.88767568556705, 357.7531238908227)
(289.8529891918793, 354.78575154575)
(292.8574559250109, 351.6069830586699)
(295.8956336394788, 348.1846428128982)
(298.9580336365429, 344.4779366237395)
(302.02833071916376, 340.43413121709835)
(305.0782263254962, 335.9836288212248)
(308.05749755366855, 331.032691573559)
(310.8735967015565, 325.4533124509665)
(313.34744529228084, 319.07278071713813)
(315.1151495397362, 311.68320673448477)
(315.43594906619364, 303.1752523570234)
(313.1244233518017, 294.12581545402)
(307.86646990748943, 286.395130635499)
(301.25579642787864, 281.00394242809875)
(294.52364641027987, 277.45029365859483)
(288.0840071845613, 275.10110188594615)
(282.02250424195006, 273.542039556378)
(276.3275940625267, 272.522501583069)
(270.9638624181342, 271.8873756421848)
(265.89369131795445, 271.53647336200254)
(261.0831845383999, 271.4022747535059)
(256.50327365468826, 271.4375277819576)
(252.12939773330186, 271.6080753117273)
(247.94083875590962, 271.88853381985183)
(243.92005316241844, 272.2595884057191)
(240.05209421648306, 272.70623996262896)
(236.32413877024794, 273.21663389529294)
(232.72510724630504, 273.7812558596502)
(229.2453602576664, 274.3923660545054)
(225.87645620056423, 275.0435927030118)
(222.61095674869168, 275.7296343012823)
(219.44226986457053, 276.44603777422765)
(216.36452224823907, 277.18903062702844)
(213.37245498512252, 277.95539217423715)
(210.46133758206201, 278.7423534963336)
(207.6268966717267, 279.54751881814474)
(204.865256496331, 280.368803070847)
(202.17288891413995, 281.20438182707164)
(199.54657115539774, 282.05265080030324)
(196.98334992505272, 282.91219281267496)
(194.48051073569687, 283.7817506494766)
(192.03555157615747, 284.6602045941805)
(189.64616019456867, 285.54655371515327)
(187.31019441100952, 286.4399001822873)
(185.02566498253537, 287.33943604793353)
(182.79072062913662, 288.24443204535316)
(180.6036348977422, 289.15422804915255)
(178.46279459657828, 290.06822491279434)
(176.36668957685595, 290.9858774533754)
(174.31390367509664, 291.9066883971554)
(172.30310665911267, 292.8302031335701)
(170.33304704507327, 293.7560051527382)
(168.40254567323964, 294.6837120633206)
(166.5104899466662, 295.6129721052)
(164.6558286510861, 296.54346108571684)
(162.83756728584135, 297.47487967981857)
(161.0547638454956, 298.4069510439934)
(159.3065250000076, 299.33941870168474)
(157.5920026283173, 300.2720446643468)
(155.9103906661151, 301.2046077576679)
(154.2609222336101, 302.13690212695576)
(152.64286701342272, 303.0687358994221)
(151.05552885242398, 303.9999299842385)
(149.4982435645235, 304.9303169938866)
(147.97037691414937, 305.8597402725596)
(146.47132276253546, 306.7880530192723)
(145.00050136098955, 307.7151174949529)
(143.55735777710382, 308.64080430416857)
(142.14136044142995, 309.56499174331987)
(141.25199980350334, 310.48756520815255)
(140.38895098475246, 311.4084004028009)
(139.5519012992014, 312.32737727673947)
(138.74054971996225, 313.2443797411923)
(137.95460637813682, 314.15929540489924)
(137.193792091811, 315.0720153275957)
(136.45783792302117, 315.98243378971733)
(135.74648476074978, 316.89044807698184)
(135.05948292816726, 317.79595827862346)
(134.3965918124838, 318.69886709816717)
(133.7575795159059, 319.59907967573054)
(133.64222252631322, 320.4965034209288)
(133.55044335345934, 321.39102220547466)
(133.48216959871885, 322.2825202254883)
(133.43733387891785, 323.1708818937814)
(133.41587375619818, 324.0559917337503)
(133.41773167373296, 324.93773427461025)
(133.44285489712772, 325.81599394771104)
(133.49119546135785, 326.6906549836813)
(133.56271012310836, 327.56160131015383)
(133.65736031839666, 328.42871644982847)
(133.7751121253737, 329.2918834186333)
(134.4159362322122, 330.1509846237457)
(135.07994059955433, 331.00586496570133)
(135.76723816756495, 331.8563660597157)
(136.47794697393735, 332.7023260562849)
(137.21219027861918, 333.5435794532304)
(137.97009669558219, 334.37995689856643)
(138.75180033198285, 335.2112849835206)
(139.55744093508562, 336.0373860249871)
(140.38716404734708, 336.8580778366345)
(141.2411211700882, 337.6731734878297)
(142.61946993621189, 338.4824810494692)
(144.0225173436869, 339.285749331708)
(145.45058044962343, 340.0827169579944)
(146.90398679763075, 340.8731117611863)
(148.3830748690697, 341.65665013536136)
(149.88819455977804, 342.43303633935125)
(151.4197076839642, 343.201961747612)
(152.97798850708995, 343.96310404357337)
(154.56342430969733, 344.7161263500792)
(156.17641598427895, 345.460676290939)
(157.817378667446, 346.19638497693717)
(159.9867424098125, 346.9228659088916)
(162.18512802767054, 347.63962069355256)
(164.41318107126304, 348.346120090803)
(166.67157314215876, 349.0418015172293)
(168.96100329162869, 349.7260662989201)
(171.28219950451927, 350.3982766433148)
(173.63592027306385, 351.05775229568957)
(176.02295626490044, 351.7037668409587)
(178.4441320892307, 352.33554360575806)
(180.90030816450496, 352.95225110912673)
(183.39238269018045, 353.5529980023294)
(185.9212937238766, 354.13682742926466)
(188.488021363522, 354.7027107282268)
(191.0935900316838, 355.24954038322556)
(193.73907085598, 355.7761221182562)
(196.425584135012, 356.2811660104018)
(199.15430187324486, 356.76327647690385)
(201.92645036020733, 357.2209409666982)
(205.2433127586232, 357.65251715759484)
(208.60652162953846, 358.0558949081758)
(212.017786467551, 358.4287460586823)
(215.47889466548594, 358.7684963710745)
(218.99171127174154, 359.07229323276977)
(222.5581770500526, 359.3369684235954)
(226.18030418542006, 359.5589951326909)
(229.86016875867253, 359.7344382880574)
(233.59989881713386, 359.85889713034805)
(237.40165647584578, 359.9274388330748)
(241.26761196097593, 359.93452186005334)
(245.1999068136352, 359.87390768645776)
(249.20060255733358, 359.73855954114384)
(253.27160993467663, 359.5205270353539)
(257.41459227110516, 359.2108160559889)
(261.6308345621734, 358.7992443242237)
(265.92106747188114, 358.2742848659897)
(270.285232619489, 357.6229027781946)
(274.7221725468928, 356.83039577509805)
(279.2292261790469, 355.88025696741875)
(283.80170964342466, 354.7540902546159)
(288.4322653077381, 353.43162563810506)
(293.11007274688416, 351.89090401848745)
(297.81993997441, 350.1087268212968)
(302.54133910282303, 348.06148864977865)
(307.24752377253725, 345.7265165161543)
(311.9049638104439, 343.08400179101466)
(316.47343201831603, 340.11949847591364)
(320.9071208978951, 336.82675274788704)
(325.1570658878982, 333.2103521831823)
(329.17483727518436, 328.7874545434086)
(332.90980038366087, 324.0855037463202)
(336.3209267653104, 319.14654845275896)
(339.38182402172026, 314.02297014781294)
(342.0829324046524, 308.77127922472823)
(344.4304591424975, 303.4458918383877)
(346.44291546482697, 298.0945174068289)
(348.1467192857491, 292.75580652196305)
(349.57211117197704, 287.4589857182838)
(350.750036680097, 282.2247702659626)
(351.71011580576715, 277.0668556362593)
(352.4795249122263, 271.9935020843294)
(353.08252683920193, 267.0089542595315)
(353.5404077400143, 262.1145998512381)
(353.87164049415844, 257.3098621633604)
(354.59215560217694, 252.59286176293534)
(355.2162736770135, 247.95957132885246)
(355.75602481242885, 243.40579534636595)
(356.22156242142205, 238.92734854205392)
(356.621499218729, 234.5201629293156)
(356.96317879791064, 230.1803487783819)
(357.2528949611367, 225.90422607996305)
(357.49606909803754, 221.6883373222107)
(357.69739404028854, 217.5294486356377)
(357.86095116045095, 213.42454389718688)
(357.99030609730835, 209.3708147715468)
(358.08858736693173, 205.36564861006676)
(358.1585512248177, 201.40661543316386)
(358.202635439746, 197.4914547659496)
(358.2230040870911, 193.61806279743413)
(358.2215850362287, 189.78448013778214)
(358.2001014673134, 185.98888032068223)
(358.1600984863209, 182.229559115862)
(358.1029656975969, 178.50492466484482)
(358.0299564276133, 174.8134884210386)
(357.9422041624372, 171.15385685639606)
(357.8407366570341, 167.52472388666183)
(357.7264880911317, 163.9248639625954)
(357.60030957946856, 160.35312577350078)
(357.46297829035126, 156.80842651055272)
(357.31520538284076, 153.28974663988177)
(357.1576429374625, 149.79612513857447)
(356.9908900264436, 146.32665515026898)
(356.8154980458147, 142.88048002063383)
(356.63197541226225, 139.45678967655013)
(356.44079171155795, 136.05481731618505)
(356.2423813720938, 132.6738363802924)
(356.037146925993, 129.31315777798386)
(355.8254619110413, 125.97212734287254)
(355.60767345896164, 122.65012349790696)
(355.38410460906726, 119.34655510939676)
(355.1550563808634, 116.06085951269864)
(354.9208096345486, 112.79250069379877)
(354.6816267444485, 109.54096761261243)
(354.4377531070867, 106.3057726552417)
(354.18941850275615, 103.08645020370236)
(353.9368383270281, 99.88255531276832)
(353.68021470655236, 96.69366248459824)
(353.919737511715, 93.51936453271917)
(354.15555743470793, 90.35924642484137)
